,title,company,rating,search_city,location,salary,age,summary
0,Test Analyst (Contract),Capgemini,3.8,Atlanta,"Atlanta, GA 30342 (North Buckhead area)",,Today,"The most important skills are:Protractor, Junit, Mockito, Type Script, Java.""Backend automated test – micro-tester, Junit, Mockito, Type Script, Java.ContractAn employee will work for a fixed rate and duration.JavaA compiled programming language and computing platform. Runs mainly on servers.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.+2 moreJUnitA testing framework used for unit testing in Java.TypeScriptAn open-source programming language from Microsoft."
1,"Client Services Executive, Healthcare, Artificial Intelligen...",Cognizant Technology Solutions,3.9,Atlanta,"Atlanta, GA 30309 (Midtown area)",,18 days ago,"In Artificial Intelligence (AI) and Analytics solutions.We develop strategies and invent.Entirely new business models, ensuring that every company we work…Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.Day ShiftA shift that starts in or primarily occurs during the day.Full-timeAn employee will work full time.+7 moreFinancial ServicesKnowledge of or experience with services related to the finance industry, such as banking, lending, or investing.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.AnalyticsExperience or skill with finding and analyzing patterns in data.Business DevelopmentExperience or knowledge identifying pipelines for new business growth, including new markets, new distribution channels, or new products.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. BankingKnowledge of or experience working in a banking environment."
2,QA / Quality Manager L2 (Contract),Capgemini,3.8,Atlanta,"Atlanta, GA 30342 (North Buckhead area)",,Today,"Acquire in-depth knowledge of the code and develop new tests and test at development phase.Participate in product design, interface design and data design.ContractAn employee will work for a fixed rate and duration.Build AutomationClass of tools used to automate software creation tasks such as compiling code and performing quality testing."
3,Recycling Logistics Associate,Rubicon Global,3.3,Atlanta,"Atlanta, GA 30326 (Lenox area)",,30+ days ago,"The Recycling Logistics Associate is responsible for operating as account manager handling the coordination, execution and tracking of inbound and outbound…ExcelSpreadsheet software developed by Microsoft.Time ManagementExperience or skill managing time in order to complete tasks quickly and efficiently. Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.+7 moreCommunication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.TravelA job that requires travel.HolidaysA work schedule that may require work on holidays.Analysis SkillsSkill at using mental reasoning or research to gain insight into or solve problems.WeekendsA work schedule that may require work on weekends.Microsoft OutlookEmail and calendar software developed by Microsoft. Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
4,Assistant Vice President of Enterprise Intelligence,WellStar Shared Services,3.7,Atlanta,"Marietta, GA",,30+ days ago,"The AVP of EI provides expert recommendations for tools, data-use processes, and up-to-date & emerging analytics, including appropriate use of machine learning…Project ManagementSkills or experience related to project management. Project management includes planning, executing, and monitoring projects in order to meet requirements while controlling budget, scope, and timeline.LeanAn approach to managing an organization by implementing processes of continuous improvement to increase overall efficiency through minimizing waste and improving products and services.Team ManagementExperience providing direction to a team of employees.+8 moreComputer ScienceSkill or experience in computers and computer concepts such as software, hardware, networking, and the Internet.Leadership ExperienceExperience providing direction to individuals in any environment.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Data MiningSkill in data mining techniques used to identify patterns in large amounts of data.Quality ControlExperience with methods and processes used to ensure that materials, components, or products meet expected standards or compliance requirements.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
5,Specialist - Airport Operations Safety Performance and Analy...,Delta,4.2,Atlanta,"Atlanta, GA",,30+ days ago,"Work on technologies such as Mobile apps, Enterprise Web apps, APIs, Messaging, Databases, Big Data, and Artificial Intelligence.Analysis SkillsSkill at using mental reasoning or research to gain insight into or solve problems.Presentation SkillsExperience effectively speaking and communicating information to a large or small audience. Mobile ApplicationsSkill or experience with software applications designed for mobile devices.+1 moreAPIsSkill or experience with programming interfaces that allow communication between products or services."
6,Education Consultant,"Insight Enterprises, Inc.",3.6,Atlanta,"Atlanta, GA",,30+ days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year.Disability FriendlyIndividuals with disabilities are encouraged to apply.SAP Supply Chain ManagementSupply Chain Management solution offered by SAP that covers planning, networking, coordinating, and execution.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks."
7,Marketing Senior Manager – Artificial Intelligence,Deloitte,4.0,Atlanta,"Atlanta, GA 30303 (Downtown area)",,6 days ago,"Artificial Intelligence - Senior Strategic Marketing Planner.You will define and execute integrated marketing campaigns that support the Artificial…Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.TravelA job that requires travel.ProofreadingExperience reviewing written text for typographical consistency, grammar, and spelling.+12 moreLeadership ExperienceExperience providing direction to individuals in any environment.Microsoft OfficeSuite of software including Powerpoint, Word, Excel, and Outlook.Marketing AutomationExperience with software that automates repetitive marketing tasks and allows marketers to manage and measure their campaigns.CRM SoftwareCRM (customer relationship management) software is used by companies to manage relationships with current and potential customers. Microsoft WordWord processing software.Microsoft PowerpointPresentation software.MarketingExperience with strategies aimed at communicating with a target audience for the purpose of promoting a client or product.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Digital MarketingExperience with product, service, or brand marketing through electronic media, such as email, social media, SEO (search engine optimization), and content marketing.Analysis SkillsSkill at using mental reasoning or research to gain insight into or solve problems.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks."
8,Architect (Contract),Capgemini,3.8,Atlanta,"Atlanta, GA 30342 (North Buckhead area)",,Today,"Minimum of 5 years of enterprise data integration and management experience working with MDM, data governance and data quality solutions.Management ExperienceExperience managing personnel in a professional setting.ScrumKnowledge of or experience with the scrum software development process, which is a type of agile methodology.InformaticaA suite of data integration and enterprise data management software programs and applications developed by Informatica. Common products include PowerCenter, Informatica Cloud, and Informatica Data Quality.+2 moreAgileKnowledge of or experience managing projects in incremental iterations to continually maximize flexibility and efficiency of a process.ContractAn employee will work for a fixed rate and duration."
9,Software Developer - General / Varied L1 (Contract),Capgemini,3.8,Atlanta,"Atlanta, GA 30342 (North Buckhead area)",,Just posted,"3-5 years of experience in build, release and version control.Good hands-on exp with Android build tool chain set up, integration process, Git and Gerrit.ContractAn employee will work for a fixed rate and duration.EclipseIntegrated development environment (IDE) used primarily for developing Java applications.LinuxOpen-source kernel for a family of operating systems.+5 moreAgileKnowledge of or experience managing projects in incremental iterations to continually maximize flexibility and efficiency of a process.Shell ScriptingScripts that run in a Unix or Windows shell.Build AutomationClass of tools used to automate software creation tasks such as compiling code and performing quality testing.GitA version-control system for source code management.DevOpsSkill or experience in the agile relationship and processes between software development and IT operations to improve communication and collaboration."
