,title,company,rating,search_city,location,salary,age,summary
0,Software Engineer – Artificial Intelligence and Machine Lear...,Dell,4.0,Austin,"Round Rock, TX 78682",,Today,The candidate will use technical knowledge and software development to build technology centric solutions that accelerate the development of Artificial…
1,Principal Software Engineer – Artificial Intelligence and Ma...,Dell,4.0,Austin,"Round Rock, TX 78682",,Today,Principal Software Engineer – Artificial Intelligence and Machine Learning Platform.The candidate will use technical knowledge and software development to…
2,Software Engineer – Artificial Intelligence and Machine Lear...,Dell,4.0,Austin,"Round Rock, TX 78682",,3 days ago,Software Engineer – Artificial Intelligence and Machine Learning Platform.The candidate will use technical knowledge and software development to build…
3,"Summer 2020 Intern, Artificial Intelligence (Austin)",Shiseido Americas Corporation,3.9,Austin,"Austin, TX",,30+ days ago,Artificial Intelligence / Machine Learning: a thorough understanding of both the core fundamentals of ML algorithms.Key characteristics for this position are:
4,Customer Relationship Manager,Gensuite LLC,3.0,Austin,"Austin, TX 78759 (Arboretum area)",,Today,"Innovate with Gensuite as a Customer Relationship Manager.We offer all our full-time employees a competitive package of compensation and benefits, including…"
5,Robotics Engineer Artificial Intelligence,"Yaskawa Innovation, Inc.",,Austin,"Austin, TX 78758 (North Austin area)",,30+ days ago,Yaskawa Innovation is seeking a talented computer scientist or engineer to work on development of next generation artificial intelligence software and…
6,"Grading Analyst, Siri Team - Portuguese Language Specialist",Apple,4.2,Austin,"Austin, TX",,30+ days ago,"Imagine what you could do here.Millions of people now use Siri to send a message, play their favorite song or even take a selfie."
7,"Grading Analyst, Siri Team - Spanish Language Specialist",Apple,4.2,Austin,"Austin, TX",,30+ days ago,"Imagine what you could do here.Millions of people now use Siri to send a message, play their favorite song or even take a selfie."
8,Associate Scientist,Klaris Diagnostics,,Austin,"Austin, TX",,30+ days ago,"Pattern is looking for an Associate Scientist to join our team working at the intersection of artificial intelligence, microfluidics and clinical microbiology…"
9,"Grading Analyst, Siri Team - French Language Specialist",Apple,4.2,Austin,"Austin, TX",,30+ days ago,"Imagine what you could do here.Millions of people now use Siri to send a message, play their favorite song or even take a selfie."
10,Principal Software Engineer – Artificial Intelligence and Ma...,Dell,4.0,Austin,"Round Rock, TX 78682",,7 days ago,The candidate will use technical knowledge and software development to build technology centric solutions that accelerate the development of Artificial…
11,"Grading Analyst, Siri Team - German Language Specialist",Apple,4.2,Austin,"Austin, TX",,30+ days ago,"Imagine what you could do here.Millions of people now use Siri to send a message, play their favorite song or even take a selfie."
12,"Grading Analyst, Siri Team - Mandarin Language Specialist",Apple,4.2,Austin,"Austin, TX",,30+ days ago,"Imagine what you could do here.Millions of people now use Siri to send a message, play their favorite song or even take a selfie."
13,"Quantitative Trader, Systematic Trading",DRW Trading Group,4.6,Austin,"Austin, TX",,Just posted,"MS/PhD in a technical discipline with a focus on Financial Mathematics, Statistics, Artificial Intelligence or related fields.We also require the following:"
14,"Artificial Intelligence Consultant, CMT Southwest",Accenture,4.0,Austin,"Austin, TX",,30+ days ago,"Partnering with our client to drive overall technology transformation agenda.Driving the methods, strategies and approach to Cloud adoption."
15,"Artificial Intelligence Manager, CMT Southwest",Accenture,4.0,Austin,"Austin, TX",,30+ days ago,"Partnering with our client to drive overall technology transformation agenda.Driving the methods, strategies and approach to Cloud adoption."
16,"Grading Analyst, Siri Team - Korean Language Specialist",Apple,4.2,Austin,"Austin, TX",,30+ days ago,"Imagine what you could do here.Millions of people now use Siri to send a message, play their favorite song or even take a selfie."
17,Collections Specialist - Part-time,BOXX,,Austin,"Austin, TX",,7 days ago,"We are a workstation manufacturing company searching for an enthusiastic, hard-working, and driven accounting professional to join our team in Austin, TX as a…"
18,University Internship - Data Science,Cerebri AI,,Austin,"Austin, TX",,Today,"Knowledge of Big Data, artificial intelligence, natural language processing, machine learning or deep learning.Create sample programs and documentation."
19,"Grading Analyst, Siri Team - Japanese Language Specialist",Apple,4.2,Austin,"Austin, TX",,30+ days ago,"Imagine what you could do here.Millions of people now use Siri to send a message, play their favorite song or even take a selfie."
20,Customer Enablement,Dun & Bradstreet,3.8,Austin,"Austin, TX 78752 (Highland area)",,30+ days ago,"Lattice is seeking a customer enablement associate to join our growing professional services team and bring creative, out-of-box thinking along with solid…Leadership ExperienceExperience providing direction to individuals in any environment.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.MarketingExperience with strategies aimed at communicating with a target audience for the purpose of promoting a client or product.+5 moreEmailPotential candidates may apply by email.Project ManagementSkills or experience related to project management. Project management includes planning, executing, and monitoring projects in order to meet requirements while controlling budget, scope, and timeline.Disability FriendlyIndividuals with disabilities are encouraged to apply.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. OracleDatabase used for online transaction processing and data warehousing developed by Oracle Corporation."
