,title,company,rating,search_city,location,salary,age,summary
0,Big Data Developer Tech Lead,Allstate NI,3.8,Belfast,,,6 days ago,About The Role Responsibilities include (but aren't limited to):As technical lead for Claim MDM you will be expected to be the Subject Matter Expert for the…
1,DevOps Tech Lead,Allstate NI,3.8,Belfast,,,6 days ago,"We are looking for a DevOps & programming (Java or any programming language) Engineer to join us in Belfast, NI.Ensure smooth operations and maximize uptime."
2,Big Data Developer,Allstate NI,3.8,Belfast,,,6 days ago,"About The Role Essential Criteria.Must be an EU citizen or possess a current UK Tier 1 Visa or Tier 2 visa and eligible to take up full time, permanent…"
3,"Cyber, Data Science, Sensing, Space Systems & Electronic War...",UK Government - Defence Science and Technology Lab...,3.1,Belfast,County Down,"£21,500 - £53,400 a year",29 days ago,Applying the latest thinking in data science and artificial intelligence for defence and security purposes.To support this Dstl conducts targeted research and…
4,Junior Data Analyst,PwC,4.0,Belfast,Belfast,,30+ days ago,Exposure to any elements of Artificial Intelligence such as Natural Language Processing or Machine Learning.Able to quickly learn new tools and techniques.
5,Data Analytics Intern - 2020,Ciena,4.0,Belfast,Belfast,,29 days ago,Help Senior Engineers code analytics algorithm and work on Machine Learning (ML) and Artificial Intelligence (AI) algorithms.What you can expect from us.
6,Data Scientist with Machine Learning,PwC,4.0,Belfast,Belfast,,27 days ago,Exposure to any elements of Artificial Intelligence such as Natural Language Processing or Machine Learning.Able to quickly learn new tools and techniques.
7,"Associate, Forensic Data Analytics, Belfast",EY,4.0,Belfast,Belfast,,Just posted,"This is achieved by combining deep forensic investigation knowledge with advanced data analytics techniques such as investigative data linking, social network…"
8,Senior Data Scientist,Modis Northern Ireland,,Belfast,Belfast,"£40,000 - £55,000 a year",Today,"An MSc or PhD in Computer Science, Machine Learning, Artificial Intelligence, Deep Learning etc.An increasing volume of data is becoming available in…"
9,Team Lead Data Team,PwC,4.0,Belfast,Belfast,,27 days ago,Exposure to any elements of Artificial Intelligence such as Natural Language Processing or Machine Learning.Able to quickly learn new tools and techniques.
10,Intelligent Review Associate,PwC,4.0,Belfast,Belfast,,30+ days ago,Working with our dedicated technology team to further develop our Artificial Intelligence (AI) technology and to incorporate and maximise the benefits of AI…
11,Director of Engineering,Queen's University Belfast,4.4,Belfast,Belfast BT7,"£58,944 - £72,677 a year",8 days ago,"Are you an experienced Software Engineering Director or Principal with a keen interest in Cyber Security, AI and solving societal challenges with new…"
