,title,company,rating,search_city,location,salary,age,summary
0,Machine Learning Framework Developer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
1,Head of Infrastructure Operations,UK Government - Driver and Vehicle Standards Agenc...,3.6,Bristol,Bristol,"£47,584 - £54,237 a year",25 days ago,Roles Responsibilities include (but not limited to):Managing the resources and value for money of the core team and third parties delivering infrastructure…
2,Applied Data Scientist,Airbus,4.2,Bristol,Bristol,,11 days ago,You will join the Artificial Intelligence & Analytics team.Its broader mission is to embed Analytics & Artificial Intelligence within Airbus through solving…
3,People & Culture Analyst / HRIS Analyst,Michael Page UK,3.3,Bristol,Bristol,"£35,000 - £42,000 a year",22 days ago,"Transforming People & Culture operations by implementing artificial intelligence solutions to provide innovative, engaging and time efficient experiences to all…"
4,Senior Research Associate,University of Bristol,4.2,Bristol,Bristol BS8,"£38,017 - £42,792 a year",5 days ago,The successful applicant will work on the project ‘Explaining AI (Artificial Intelligence) Decision Making: organizational and community approaches’ funded…
5,ISS - Band C1 Project Manager,UK Government - Ministry of Defence,4.0,Bristol,Corsham SN13,"£38,623 a year",12 days ago,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.Things are changing rapidly in ISS."
6,Sparkworks Emerging Technology,MBDA,3.7,Bristol,Bristol,,27 days ago,"Contribution into UK WSTC programmes to consider Artificial Intelligence potential in Mission Planning, C2 and Engagement capabilities for future weapons;"
7,Business Analyst - Bristol,Atkins,3.7,Bristol,Bristol,,5 days ago,"A strong emotional intelligence and the ability to flex your style to suit different stakeholders, and is confident and self-assured in putting forward your…"
8,Band C2 Project Manager,UK Government - Ministry of Defence,4.0,Bristol,Corsham SN13,"£31,696 a year",Just posted,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.Things are changing rapidly in DD."
9,Project Controls Manager - ID 10,UK Government - Ministry of Defence,4.0,Bristol,Bristol BS34,"£38,623 a year",19 days ago,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.P3M 20 Frameworks and Methodologies."
10,Doctoral Training Co-ordinator (fixed-term role),University of Bath,4.2,Bristol,Bath,"£26,715 a year",12 days ago,The Department of Computer Science is home to both the EPSRC Centre for Doctoral Training in Digital Entertainment (CDE) and the UKRI Centre for Doctoral…
11,LLVM Developer,Graphcore,,Bristol,,,5 days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
12,AI Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore's Intelligence Processing Units, or IPUs, are specifically designed for artificial intelligence and compute-dense graph applications."
13,DFT Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
14,Performance Evaluation Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
15,Analysis Tools Frontend Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
16,Machine Learning Framework Developer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
17,LLVM Developer,Graphcore,,Bristol,,,5 days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
18,Analysis Tools Frontend Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
19,AI Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore's Intelligence Processing Units, or IPUs, are specifically designed for artificial intelligence and compute-dense graph applications."
20,DFT Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
21,Performance Evaluation Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
22,Junior Safety Consultant,Atkins,3.7,Bristol,Bristol,,12 days ago,"The Safety Capability offer a range of independent and unbiased advice in engineering, technical and strategic advisory services to a wide breadth of markets…"
23,Defence Digital- Band C2 Project Manager,UK Government - Ministry of Defence,4.0,Bristol,Corsham SN13,"£31,696 a year",11 days ago,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.Things are changing rapidly in DD."
24,Band C1 Project Manager I.D-6,UK Government - Ministry of Defence,4.0,Bristol,Corsham SN13,"£38,623 a year",4 days ago,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.Things are changing rapidly in DD."
25,Junior Asset Management Consultant,Atkins,3.7,Bristol,Bristol,,5 days ago,"The Asset Management Capability offer a range of independent and unbiased advice in engineering, technical and strategic advisory services to a wide breadth of…"
26,Modelling Software Engineer Intern,Intel,4.1,Bristol,Bath BA1,,30+ days ago,Join Intel's Barefoot Networks business unit and work alongside world-class experts to help shape and build the next generation of P4-programmable Ethernet…
27,LLVM Developer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
28,Security Research Specialist – Threat Modelling and Simulati...,BT,3.8,Bristol,Bristol,,30+ days ago,Security Research Specialist Threat & Modelling Simulation.We need you to help us do this.This is a lead technical expert role in Applied Research where the…
29,Software Engineer,Intel,4.1,Bristol,Bath BA1,,9 days ago,"Intel is seeking highly qualified candidates to join our Data Platform Group (DPG) as a Software Engineer!It ranges from advanced network monitoring, analysis,…"
30,Band C2 Project Manager ID-10,UK Government - Ministry of Defence,4.0,Bristol,Corsham SN13,"£31,696 a year",3 days ago,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.Risk and Issue Management (Working)."
31,Band B2 Senior Project Controls Manager I.D-6,UK Government - Ministry of Defence,4.0,Bristol,Filton,"£51,913 a year",4 days ago,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.Risk and Issues Management (Practitioner)."
32,Machine Learning Framework Developer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
33,LLVM Developer,Graphcore,,Bristol,,,5 days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
34,Analysis Tools Frontend Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
35,DFT Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
36,Cloud Software Engineer,Hewlett Packard Enterprise,3.7,Bristol,Bristol,,30+ days ago,"Experience in one or more of the following areas is a plus: data protection, recommendation systems, data mining, machine learning or artificial intelligence."
37,Machine Learning Framework Developer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
38,Information Security Risk & Assurance Analyst,Dyson,3.5,Bristol,Malmesbury,,30+ days ago,"You understand digital, technology and data risks and are passionate about latest innovations such as artificial intelligence, blockchain, robotics and the…"
39,Band C1 Project Delivery Manager,UK Government - Ministry of Defence,4.0,Bristol,Corsham SN13,"£38,623 a year",10 days ago,"This includes cyber defence, digital apps and services, Artificial Intelligence (AI), data protection and much more.Risk and Issue Management (Working)."
40,AI Engineer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore's Intelligence Processing Units, or IPUs, are specifically designed for artificial intelligence and compute-dense graph applications."
41,Graduate Verification Engineer,IC Resources,4.7,Bristol,Bristol,"£26,000 - £40,000 a year",30+ days ago,"My client is looking for multiple verification engineers to work on their new processor, which is designed for artificial intelligence."
42,DFT Engineer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
43,Software Platform Director,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
44,Operations Manager,Rovco,,Bristol,Bristol,,24 days ago,To be based in either Bristol or Edinburgh (candidate's choice).Rovco has an opportunity for an Operations Manager to join our expanding teams in Bristol or…
45,Analysis Tools Frontend Engineer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
46,AI Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore's Intelligence Processing Units, or IPUs, are specifically designed for artificial intelligence and compute-dense graph applications."
47,Machine Learning Framework Developer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
48,Analysis Tools Frontend Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
49,LLVM Developer,Graphcore,,Bristol,,,5 days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
50,AI Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore's Intelligence Processing Units, or IPUs, are specifically designed for artificial intelligence and compute-dense graph applications."
51,Performance Evaluation Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
52,DFT Engineer,Graphcore,,Bristol,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
53,Physical Design Engineer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
54,Performance Evaluation Engineer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
55,Security Architect,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
56,Firmware Test Engineer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
57,"Guidance, Control & Navigation Engineer",Zebra Technical Recruitment,,Bristol,Bristol,"£45,000 a year",30+ days ago,"Key skills: Algorithm development, image processing, Matlab, Simulink, Software, Artificial Intelligence.As an Engineer working in their guidance area you will…"
58,Machine Learning Researcher,Cookpad Ltd,,Bristol,Bristol,,30+ days ago,"You will work at the cutting edge of Machine Learning and Artificial Intelligence to build video, text, speech and action interfaces."
59,Data Engineer,Envelop Risk Analytics,,Bristol,Bristol,,30+ days ago,We underwrite cyber reinsurance contracts and are building cyber insurance products that will be distributed globally.
60,C++ Software Platform Engineer,Graphcore,,Bristol,Bristol,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
