,title,company,rating,search_city,location,salary,age,summary
0,Application Specialist,IntelliSense.io,,Cambridge,,,1 day ago,"With offices worldwide, IntelliSense.io has a vacancy for a skilled Application Specialist to join our growing team.Overseeing UI Designs (w/ designers)."
1,Head of Artificial Intelligence & Machine Learning,Quanticate,,Cambridge,,,30+ days ago,"Apply your analytics, artificial intelligence, machine learning, big data and cloud technologies knowledge in building tools to improve the efficiency and…"
2,LLVM Developer,Graphcore,,Cambridge,,,5 days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
3,Administrator,Ajilon,,Cambridge,,,6 days ago,Duration: * Ajilon Consultant (See below).Salary: * £Strong PAYE salary plus extensive benefits (as below).A market leading client based in Cambridge require…
4,DevOps Engineer,IntelliSense.io,,Cambridge,,,5 days ago,IntelliSense.io* has a great opportunity for a skilled DevOps Engineer to join our busy team.Role & Responsibilities –* You will be working in our engineering…
5,Machine Learning Framework Developer,Graphcore,,Cambridge,,,30+ days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
6,Artificial Intelligence and Machine Learning Intern (AOCS) 1...,Airbus,4.2,Cambridge,Stevenage,,30+ days ago,"AIRBUS Defence and Space Limited.We are looking for an intern to join the AOCS/GNC (Attitude and Orbital Control System/Guidance, Navigation and Control) team…"
7,Researcher in Computer Vision and Machine Learning,Samsung Electronics,4.0,Cambridge,Cambridge,,30+ days ago,"Samsung Artificial Intelligence Centre (SAIC) – Cambridge, UK.Samsung has a strict policy on trade secrets.In applying to Samsung and progressing through the…"
8,Character Artist (Generalist),TEC Partners,,Cambridge,Cambridge,£350 - £400 a day,11 days ago,"You will mix this with cutting edge artificial intelligence, sensors and displays developed by the rest of the team to enable experiences of social virtual…"
9,Software Engineer for Virtual and Augmented Reality Experien...,Microsoft,4.2,Cambridge,Cambridge,,10 days ago,"As a member of the Mixed Reality & AI Lab at Microsoft Cambridge you will mix your software engineering skills with cutting edge art, design, artificial…"
10,Software Development Engineer,Evi Technologies Limited,3.6,Cambridge,Cambridge,,12 days ago,"You demonstrate a breadth and depth of knowledge in the following disciplines:Strong software design and coding skills in Java, C++ or Python."
11,Head of Artificial Intelligence & Machine Learning,Quanticate,,Cambridge,Hitchin SG5,,21 days ago,"Apply your analytics, artificial intelligence, machine learning, big data and cloud technologies knowledge in building tools to improve the efficiency and…"
12,"Real World Science, Data Scientist",AstraZeneca,4.1,Cambridge,Cambridge CB2,,3 days ago,"Use of Machine Learning and Artificial Intelligence in the generation of hypotheses within Real World Data.Real World Science, Data Scientist."
13,Data Scientist,Booking.com,3.8,Cambridge,Cambridge,,30+ days ago,"Masters, PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.)."
14,Cheminformatics Data Scientist,AstraZeneca,4.1,Cambridge,Cambridge CB4,,30+ days ago,Understand and seek opportunities to apply artificial intelligence & machine learning to the world of chemistry and biology informatics.
15,Data Integration Developer,IntelliSense.io,,Cambridge,,,4 days ago,"We are looking for a Data Integration Developer to ingest, transform and integrate structured data and deliver data to our back end platform."
16,Administrator,Ajilon,,Cambridge,,,6 days ago,Duration: * Ajilon Consultant (See below).Salary: * £Strong PAYE salary plus extensive benefits (as below).A market leading client based in Cambridge require…
17,Data Integration Developer,IntelliSense.io,,Cambridge,,,4 days ago,"We are looking for a Data Integration Developer to ingest, transform and integrate structured data and deliver data to our back end platform."
18,Application Specialist,IntelliSense.io,,Cambridge,,,1 day ago,"With offices worldwide, IntelliSense.io has a vacancy for a skilled Application Specialist to join our growing team.Overseeing UI Designs (w/ designers)."
19,DevOps Engineer,IntelliSense.io,,Cambridge,,,5 days ago,IntelliSense.io* has a great opportunity for a skilled DevOps Engineer to join our busy team.Role & Responsibilities –* You will be working in our engineering…
20,LLVM Developer,Graphcore,,Cambridge,,,5 days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
21,Head of Artificial Intelligence & Machine Learning,Quanticate,,Cambridge,,,30+ days ago,"Apply your analytics, artificial intelligence, machine learning, big data and cloud technologies knowledge in building tools to improve the efficiency and…"
22,Platform Operations Engineer,Linguamatics,,Cambridge,Cambridge,"£1,000 - £1,001 a week",30+ days ago,This is a varied and demanding hands-on role covering a wide range of DevOps and systems operations functions.
23,Systems Operations Engineer - Linguamatics,IQVIA,3.9,Cambridge,Cambridge,,7 days ago,We are now looking for a Site Support Engineer in our Cambridge UK headquarters to provide IT support to colleagues working on-site and remotely.
24,Senior I.T Project Manager - Data & AI,AstraZeneca,4.1,Cambridge,Cambridge CB2,,30+ days ago,AstraZeneca has recently launched a Data Science and Artificial Intelligence (AI) transformation programme to position us at the forefront of our field over the…
25,Fully-Funded (Home/EU Rate) PhD Studentship (Fixed Term),University of Cambridge,4.2,Cambridge,Cambridge,,7 days ago,PhD Studentship: Nanionic Energy Devices.Supervisor: Professor Judith Driscoll Sponsor: EPSRC and Cambridge Display Technology (CDT) Start date: October 2020.
26,Backend Developer,IntelliSense.io,,Cambridge,Cambridge,"£30,000 - £45,000 a year",8 days ago,"IntelliSense.io* has a great opportunity for a talented Backend Developer to join our busy team.Working in a fast-paced environment, you will be involved in…"
27,Researcher: Security,Microsoft,4.2,Cambridge,Cambridge,,30+ days ago,"PhD in Computer Science in the areas of security, privacy, verification, programming languages, compilers, operating systems, distributed systems, artificial…"
28,X-ray Crystallography Software Development Ref: SI-M003,Astex Pharmaceuticals,,Cambridge,Cambridge,,30+ days ago,Experience with artificial intelligence and cheminformatics is a plus.Sustaining Innovation Postdoctoral Research Associate.Closing Date: 31st Janaury 2020.
29,ML Engineer,AstraZeneca,4.1,Cambridge,Cambridge CB4,,30+ days ago,"Deep technical skills in knowledge representation, reasoning, graphs, natural language processing, data integration or artificial intelligence."
30,Systems Operations Manager - Linguamatics,IQVIA,3.9,Cambridge,Cambridge,,30+ days ago,This is a varied and demanding hands-on role covering a wide range of DevOps and systems operations functions.A typical day might look like:
31,Administrator,Ajilon,,Cambridge,,,6 days ago,Duration: * Ajilon Consultant (See below).Salary: * £Strong PAYE salary plus extensive benefits (as below).A market leading client based in Cambridge require…
32,Data Integration Developer,IntelliSense.io,,Cambridge,,,4 days ago,"We are looking for a Data Integration Developer to ingest, transform and integrate structured data and deliver data to our back end platform."
33,Application Specialist,IntelliSense.io,,Cambridge,,,1 day ago,"With offices worldwide, IntelliSense.io has a vacancy for a skilled Application Specialist to join our growing team.Overseeing UI Designs (w/ designers)."
34,DevOps Engineer,IntelliSense.io,,Cambridge,,,5 days ago,IntelliSense.io* has a great opportunity for a skilled DevOps Engineer to join our busy team.Role & Responsibilities –* You will be working in our engineering…
35,LLVM Developer,Graphcore,,Cambridge,,,5 days ago,"Graphcore has created a completely new processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence."
36,Head of Artificial Intelligence & Machine Learning,Quanticate,,Cambridge,,,30+ days ago,"Apply your analytics, artificial intelligence, machine learning, big data and cloud technologies knowledge in building tools to improve the efficiency and…"
37,C++ Software Engineer - AI,Linux Recruit,,Cambridge,Cambridge,"£45,000 - £80,000 a year",30+ days ago,"Ever wondered what thinking goes behind driverless cars?As a C++ Software Engineer, you'll be working on complex problems Silicon Valley haven't even attempted…"
