,title,company,rating,search_city,location,salary,age,summary
0,Counsel - Privacy and Information Governance,McDonald's Corporate,3.5,Chicago,"Chicago, IL",,3 days ago,"Basic technical knowledge of IT environments, data flows, cloud computing, integrated platforms, social technologies, data analytics, artificial intelligence…"
1,Artificial Intelligence,Northwestern University,4.2,Chicago,"Chicago, IL",,30+ days ago,Faculty Position: The Department of Radiology at Northwestern University Feinberg School of Medicine in Chicago is seeking a full-time faculty member at the…
2,Artificial Intelligence Engineer,"Group O, Inc.",,Chicago,"Chicago, IL 60654 (River North area)",,21 days ago,The Artificial Intelligence Engineer translates business needs into building reliable and scalable technical systems.
3,Quantitative Research Intern,DRW Trading Group,4.6,Chicago,"Chicago, IL 60661 (West Loop Gate area)",,Just posted,"Are pursuing a Master’s or PhD in a technical discipline with a focus on Statistics, Optimization, Machine Learning, Artificial Intelligence, Quantitative…"
4,Services Account Executive,"Insight Enterprises, Inc.",3.6,Chicago,"Chicago, IL",,3 days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
5,Office Manager,Narrative Science,4.0,Chicago,"Chicago, IL",,4 days ago,"Powered by artificial intelligence, our technology automatically turns data into easy-to-understand reports, transforms statistics into stories, and converts…"
6,Consultant Sr,"Insight Enterprises, Inc.",3.6,Chicago,"Chicago, IL",,10 days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
7,AI Intern,STATS PERFORM,,Chicago,"Chicago, IL 60607",,14 days ago,Stats Perform summer internship program is a paid 10 week full-time internship.Not only will Stats Perform Interns have hands on experience in their field of…
8,"AVP, Front End Developer - Personalization",Synchrony,3.9,Chicago,"Chicago, IL 60606","$60,000 - $130,000 a year",6 days ago,"Experience with Live Ramp, Machine Learning, and Artificial Intelligence is desirable but not mandatory.The AVP, Front End Developer-Personalization will serve…"
9,Executive Assistant,Motorola Solutions,4.1,Chicago,"Chicago, IL",,30+ days ago,Seeking a detail-oriented and proactive Executive Assistant that can operate effectively with limited direction to provide full range of administrative support…
10,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Chicago,"Chicago, IL",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…"
11,AI Intern,STATS PERFORM,,Chicago,"Chicago, IL 60607 (Near West Side area)",,14 days ago,Stats Perform summer internship program is a paid 10 week full-time internship.Not only will Stats Perform Interns have hands on experience in their field of…
12,Executive Assistant,Motorola Solutions,4.1,Chicago,"Chicago, IL",,30+ days ago,Seeking a detail-oriented and proactive Executive Assistant that can operate effectively with limited direction to provide full range of administrative support…
13,Marketing Senior Manager – Artificial Intelligence,Deloitte,4.0,Chicago,"Chicago, IL 60606 (Loop area)",,6 days ago,Artificial Intelligence - Senior Strategic Marketing Planner.You will define and execute integrated marketing campaigns that support the Artificial…
14,Chief Technology Officer,Crowe,3.5,Chicago,"Chicago, IL 60606 (Loop area)",,21 days ago,"Thorough understanding of automation and role of artificial intelligence.Requirements: - Bachelor’s degree required, Master’s degree preferred."
15,Capability Network - CFO&EV - Treasury Consultant,Accenture,4.0,Chicago,"Chicago, IL",,Today,"Accenture Treasury Consultants focus on our global client Treasury Management System (TMS) or Enterprise Resource Management (ERP) evaluation, selection,…"
16,"Manager, Global Translation Process",Shure Incorporated,4.1,Chicago,"Chicago, IL 60603 (Loop area)",,14 days ago,"Keep informed of shifts in translation technologies, including artificial intelligence and neural networks platforms.Knowledge of marketing is a plus."
17,"Senior Director of Product, Artificial Intelligence","SMS Assist, LLC",2.4,Chicago,"Chicago, IL 60611 (Near North Side area)",,30+ days ago,"10+ years of leadership experience in building and deploying artificial intelligence, data science, speech science and machine learning products with…"
18,XPERT,Xsell Technologies Inc,3.6,Chicago,"Chicago, IL 60607 (Near West Side area)",,30+ days ago,"Provide product recommendation feedback for artificial intelligence tools for Retail.Strong attention to detail, self-motivation, ability to problem solve, and…"
19,"Artificial Intelligence Scientist - Downers Grove IL, Slater...",Syngenta,4.1,Chicago,"Downers Grove, IL",,30+ days ago,"Artificial Intelligence Scientist – To be based in Downers Grove IL, Slater IA, or Durham NC.As an Artificial Intelligence Scientist, you will utilize rigorous…"
20,Capability Network - CFO&EV - Treasury Consultant,Accenture,4.0,Chicago,"Chicago, IL",,Today,"Accenture Treasury Consultants focus on our global client Treasury Management System (TMS) or Enterprise Resource Management (ERP) evaluation, selection,…"
21,AppD Customer Success Specialist,Cisco Systems,4.1,Chicago,"Chicago, IL 60624 (West Garfield Park area)",,15 days ago,"As a Customer Success Specialist, you will be at the forefront of the new Customer Success movement, helping customers maximize the value they receive from…"
22,Artificial Intelligence Consultant,Accenture,4.0,Chicago,"Chicago, IL",,30+ days ago,Artificial Intelligence resources at the Consultant level will be responsible for developing cognitive applications to solve business problems using leading AI…
23,Account Executive - B2B Commerce,Salesforce,4.2,Chicago,"Chicago, IL 60654 (Loop area)",,30+ days ago,"Leverage Marketing Cloud to send buyers prompts with personalized offers fueled by Einstein artificial intelligence.Job Title: Account Executive, B2B Commerce."
24,Business & Technology Solutions Consultant,Crowe,3.5,Chicago,"Chicago, IL 60606 (Loop area)",,21 days ago,You will also assist in analyzing key data sets and business intelligence metrics resulting in dashboard creation.Strong analytical and problem solving skills.
25,Data Scientist,Conversant Media,3.8,Chicago,"Chicago, IL 60606 (Loop area)",,30+ days ago,"Research experience in a computational area such as data science, computer science, machine learning, artificial intelligence, statistics, probabilistic…"
26,Program Manager,"Insight Enterprises, Inc.",3.6,Chicago,"Chicago, IL",,12 days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
27,Software Developer - Java /JEE / Java Frameworks L2 (Contrac...,Capgemini,3.8,Chicago,"Chicago, IL 60606 (Loop area)",,Today,"Primary skills - JAVA / J2EE; Spring.10+ years of Extensive experience in Java, Spring, Rest Services, JPA, Automated unit testing through tools."
28,"Director, Decision Sciences",Conversant Media,3.8,Chicago,"Chicago, IL 60606 (Loop area)",,30+ days ago,"Research experience in a computational area such as data science, computer science, machine learning, artificial intelligence, statistics, or graph algorithms."
29,Regional Sales Director,Insight,3.9,Chicago,"Chicago, IL 60642",,Just posted,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
30,Chicago Site Lead,Forward,,Chicago,"Chicago, IL",,30+ days ago,Work with our leaders to take high level goals and turn them into on-the-ground tactics that accomplish those goals (e.g. Forward’s Chicago marketing strategy &…
31,Artificial Intelligence Consultant,Accenture,4.0,Chicago,"Chicago, IL",,30+ days ago,Artificial Intelligence resources at the Consultant level will be responsible for developing cognitive applications to solve business problems using leading AI…
32,"Associate Director, Decision Science",Conversant Media,3.8,Chicago,"Chicago, IL 60606",,30+ days ago,"Research experience in a computational area such as data science, computer science, machine learning, artificial intelligence, statistics, or graph algorithms."
33,Program Manager,"Insight Enterprises, Inc.",3.6,Chicago,"Chicago, IL",,12 days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
34,Account Executive for IBM Watson Advertising,IBM,3.9,Chicago,"Chicago, IL 60601",,30+ days ago,To think along with clients and sell.We are looking for an Account Executive for the Restaurant and Retail industries to join our team.
