,title,company,rating,search_city,location,salary,age,summary
0,Entry Level Software Developer,Cognizant Technology Solutions,3.9,Dallas,"Plano, TX 75023",,24 days ago,"Help development teams to maintain the mapping / requirement document, ETL design documents, Unit Test cases, code repository and other relevant documents."
1,"Artificial Intelligence Consultant, CMT Southwest",Accenture,4.0,Dallas,"Dallas, TX",,30+ days ago,"Partnering with our client to drive overall technology transformation agenda.Driving the methods, strategies and approach to Cloud adoption."
2,"Artificial Intelligence Manager, CMT Southwest",Accenture,4.0,Dallas,"Dallas, TX",,30+ days ago,"Partnering with our client to drive overall technology transformation agenda.Driving the methods, strategies and approach to Cloud adoption."
3,Administrative Inspector,DHA Housing Solutions for North Texas,,Dallas,"Dallas, TX 75212","$30,478 - $45,716 a year",30+ days ago,"Uploads data from Yardi Voyager into the Artificial Intelligence software, utilized for routing, notifications, and communication."
4,"Technology Sales Consultant - Northern Texas, Oklahoma and L...","Dalco Contingency, LLC",,Dallas,"Dallas, TX",$75 an hour,30+ days ago,Business Intelligence / Artificial Intelligence / Blockchain.Dalco provides Professional Services to strategically help clients with applications to embrace…
5,Global Partner Program Coordinator,Motorola Solutions,4.1,Dallas,"Dallas, TX",,11 days ago,"Channel Operations of Global Sales.Recently, Motorola Solutions has expanded their Video portfolio.Job Responsibilities include, but not limited to the…"
6,Marketing Senior Manager – Artificial Intelligence,Deloitte,4.0,Dallas,"Dallas, TX 75201 (City Center District area)",,6 days ago,Artificial Intelligence - Senior Strategic Marketing Planner.You will define and execute integrated marketing campaigns that support the Artificial…
7,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Dallas,"Dallas, TX",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…"
8,Software Developer - SDET Developer (Contract),Capgemini,3.8,Dallas,"Richardson, TX",,Today,"Minimum 4-8 years industry experience, preferably in an Agile development environment.4 years of Java development experience."
9,Community Outreach Representative,Pieces Technologies,3.0,Dallas,"Dallas, TX",,30+ days ago,"Pieces also uses artificial intelligence (AI) to predict patients at-risk for adverse outcomes, applies machine learning (ML) with clinical human augmentation…"
10,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,Dallas,"Dallas, TX 75201 (City Center District area)",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…TravelA job that requires travel.Engineering DegreePostsecondary degree in engineering. KafkaAn open-source platform for processing real time data.+18 moreMonday to FridayA work schedule that covers Monday through Friday.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. TensorFlowAn open-source software library used for numerical computation for building machine learning applications.Natural Language ProcessingExperience with Natural Language Processing, a process that focuses on interaction between computers and human languages.JavaA compiled programming language and computing platform. Runs mainly on servers.Mathematics DegreePostsecondary degree in mathematics, applied mathematics, probability, or number theory. Data MiningSkill in data mining techniques used to identify patterns in large amounts of data.AnalyticsExperience or skill with finding and analyzing patterns in data.AWSExperience with Amazon Web Services, a platform which provides a wide array of information technology services to individuals or organizations. Services include but are not limited to cloud computing, data storage, database services, business applications, and content delivery. Microsoft PowerpointPresentation software.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.SparkAn open-source data processing engine for running analytics.ApacheSet of open source software developed by the Apache Software Foundation.PegasystemsA software suite of Pegasystems products designed to improve customer and business process management.VisioVector graphics creation software for flowcharts and diagrams.TroubleshootingSkill in troubleshooting and problem solving."
11,Community Outreach Representative,Pieces Technologies,3.0,Dallas,"Dallas, TX",,30+ days ago,"Pieces also uses artificial intelligence (AI) to predict patients at-risk for adverse outcomes, applies machine learning (ML) with clinical human augmentation…SalesforceA suite of customer relationship management software and applications developed by Salesforce.Sales ExperienceSkill or experience with sales.Disability FriendlyIndividuals with disabilities are encouraged to apply.+7 moreCommunication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Business DegreePostsecondary degree in business, including degrees in business management, international business, business administration, and entrepreneurship.Microsoft OfficeSuite of software including Powerpoint, Word, Excel, and Outlook.TravelA job that requires travel.Natural Language ProcessingExperience with Natural Language Processing, a process that focuses on interaction between computers and human languages.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
12,Capability Network - CFO&EV - Treasury Consultant,Accenture,4.0,Dallas,"Dallas, TX",,Today,"Accenture Treasury Consultants focus on our global client Treasury Management System (TMS) or Enterprise Resource Management (ERP) evaluation, selection,…Cash ManagementExperience with or knowledge of corporate collection, management, and investment of cash.Management ExperienceExperience managing personnel in a professional setting.TravelA job that requires travel.+11 moreRelationship ManagementExperience managing a company's continuous engagement with its target audience.Disability FriendlyIndividuals with disabilities are encouraged to apply.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Certified Treasury ProfessionalA certification awarded by the Association for Financial Professionals upon passing an exam which covers five major areas of treasury management: corporate treasury function, cash and liquidity management, working capital management, capital markets and funding, and treasury operations and controls.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.Program ManagementExperience with program management. Program management may include planning or managing multiple related projects or initiatives, or improving organizational efficiency and outcomes.Treasury ManagementExperience with treasury management and the products associated with it. Treasury management is the process of managing financial assets, including mitigating risk and managing liquidity, for businesses or individuals.Cash HandlingSkill or experience with cash handling, such as giving and receiving money, in a retail or hospitality setting.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Risk ManagementExperience identifying and mitigating potential future risk."
13,.Net Developer (Contract),Capgemini,3.8,Dallas,"Irving, TX 75062 (Las Colinas Urban Center area)",,Today,"Develop and maintain various web applications using ASP.Net MVC, Angular/AngularJS and SQL Server.Use Microsoft Azure to create various web applications and…ContractAn employee will work for a fixed rate and duration..NETA back-end software framework developed by Microsoft. .NET encompasses an array of software development tools.MVCThe software architectural pattern that divides an application into three components: the model, the view, and the controller.+14 moreASP.NETWeb application development framework based on the Microsoft .NET framework.C#Object-oriented programming language developed by Microsoft as part of the .NET framework infrastructure.Microsoft SQL ServerProprietary relational database management system written in C/C++ and developed by Microsoft.AngularOpen source web application platform managed largely by the Angular Team at Google.WCFA framework for building service-oriented applications.SQLProgramming language used for interacting with data held in a relational database.AJAXA group of tools used to create asynchronous Web applications.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.OracleDatabase used for online transaction processing and data warehousing developed by Oracle Corporation.AzureA cloud computing platform developed by Microsoft.APIsSkill or experience with programming interfaces that allow communication between products or services.XamarinA software development toolkit designed for cross-platform development using the C# language.SAP HANARelational database management system developed by SAP SE.SAP ERPSoftware suite from SAP containing modules on accounting, business intelligence, customer relations, human resources, supply chain, inventory, and manufacturing."
14,AppDynamics Sales Development Representative,Cisco Systems,4.1,Dallas,"Richardson, TX",,15 days ago,"Please note this posting is to advertise potential job opportunities.This exact role may not be open today, but could open in the near future.Paid Time OffPaid time off from work.Employee DiscountA program that provides employees with products and services at a discount.Vision InsuranceHealth insurance specifically for vision which may cover eye exams and eyewear.+7 moreDental InsuranceHealth insurance specifically for dental which may cover teeth cleanings and cavity fillings.Health InsuranceA type of insurance that covers the whole or part of an insured person's medical expenses.Disability FriendlyIndividuals with disabilities are encouraged to apply.401(k) MatchingAn employer-sponsored retirement savings plan, with pre-tax or tax-deferred benefits, where employers match employee contributions.401(k)A retirement savings plan sponsored by an employer which allows employees to invest tax-deferred, pre-tax or post-tax contributions. Employers may offer matching or non-elective contributions on behalf of employees as an additional benefit. DevOpsSkill or experience in the agile relationship and processes between software development and IT operations to improve communication and collaboration.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
15,Inside Sales Specialist Manager,Microsoft,4.2,Dallas,"Irving, TX 75039 (Freeport/Hackberry area)",,11 days ago,"The Inside Specialist Manager is consistent and predictable in managing the Solution-led businesses focused on the needs of our customers Data transformation to…Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Leadership ExperienceExperience providing direction to individuals in any environment.Account ManagementSkill or experience managing business relationships and sales for organisations.+4 moreDisability FriendlyIndividuals with disabilities are encouraged to apply.Sales ExperienceSkill or experience with sales.SQLProgramming language used for interacting with data held in a relational database.Enterprise SalesExperience selling goods or services that involve multiple stakeholders and a longer sales cycle."
