,title,company,rating,search_city,location,salary,age,summary
0,AI Labs Scrum Master - Vice President,BlackRock,3.8,Edinburgh,,,3 days ago,"Experience leading and/or supporting intelligent automation, Data Science or RPA (Robotic Process Automation), intelligent agent or Artificial intelligence…"
1,AI Labs Data Engineer Associate,BlackRock,3.8,Edinburgh,,,30+ days ago,"In February 2018, BlackRock announced the creation of a new central Data Science team in order to accelerate innovation and technology in artificial…"
2,Associate Vice President,TalentPartners.js,,Edinburgh,,,20 days ago,"TalentPartners.js works closely with executives and investors at hypergrowth startups across Europe & Silicon Valley, and helps build leading executive,…"
3,Conversation Designer,Lloyds Banking Group,3.8,Edinburgh,Edinburgh,"£48,771 - £54,190 a year",1 day ago,"Use conversation design methods to create conversational flows, user interfaces and Artificial Intelligence (AI) personalities.What will I be doing?"
4,Low Carbon Policy and Planning Consultant - Energy Strategy...,Rambøll,4.0,Edinburgh,Edinburgh,,28 days ago,"New ‘smart’ energy systems will provide real time information enabling faster decisions, artificial intelligence will be used to learn resource capacities and…"
5,Lecturer/Senior Lecturer/Reader in Biomedical Artificial Int...,University of Edinburgh,4.3,Edinburgh,Edinburgh,,30+ days ago,Job title: Lecturer/Senior Lecturer/Reader in Biomedical Artificial Intelligence.PhD and experience as a researcher who develops and/or applies artificial…
6,Data Analytics Consultant,CAPCO,3.5,Edinburgh,Edinburgh,,1 day ago,Be keen to join the team to develop the UK Data Practice capabilities and the broader Global Data Practice to support industry changing topics such as…
7,Lecturer/Senior Lecturer/Reader in Explainable Artificial In...,University of Edinburgh,4.3,Edinburgh,Edinburgh,,30+ days ago,Job title: Lecturer in Explainable Artificial Intelligence.Line Manager: Director of Artificial Intelligence and its Applications Institute (AIAI).
8,Principal Engineer - Energy Strategy and Planning,Rambøll,4.0,Edinburgh,Edinburgh,,25 days ago,"New ‘smart’ energy systems will provide real time information enabling faster decisions, artificial intelligence will be used to learn resource capacities and…"
9,"Digital Insight Week, Edinburgh, Summer 2020",PwC,4.0,Edinburgh,Edinburgh,,30+ days ago,"In order to apply for the Digital Insight Week, you will need to meet the following criteria:In England, Wales and Scotland:Currently in Year 12 or S5."
10,"Technical Director - Edinburgh, UK",Aardvark Swift,3.5,Edinburgh,Edinburgh,,30+ days ago,"Collaborating across a diverse cross-disciplinary team to ensure that gameplay, physics, animation, audio, artificial intelligence & user interface goals are…"
11,AI/Machine Learning specialist,The Shopworks,,Edinburgh,Edinburgh,,19 days ago,Machine Learning or Artificial Intelligence: 2 years (Required).Job title: AI/*Machine Learning specialist .Be experienced in AGILE development.
12,Chair in Design Informatics,University of Edinburgh,4.3,Edinburgh,Edinburgh,,12 days ago,"Informatics is the study of how natural and artificial systems store, process and communicate information.The successful candidate will have a vision for how…"
13,"AI Labs Product Manager - Trading, Vice President",BlackRock,3.8,Edinburgh,,,30+ days ago,Work with partners and stakeholders to develop a 12-month roadmap for revolutionizing trading using artificial intelligence.
14,IT/IP Associate,HRC Recruitment,,Edinburgh,,,30+ days ago,You have honed excellent drafting skills and first rate technical knowledge over the past few years as a qualified solicitor in the field of TMT and Commercial…
15,AI Labs Scrum Master - Vice President,BlackRock,3.8,Edinburgh,,,3 days ago,"Experience leading and/or supporting intelligent automation, Data Science or RPA (Robotic Process Automation), intelligent agent or Artificial intelligence…"
16,IT/IP Associate,HRC Recruitment,,Edinburgh,,,30+ days ago,You have honed excellent drafting skills and first rate technical knowledge over the past few years as a qualified solicitor in the field of TMT and Commercial…
17,AI Labs Data Engineer Associate,BlackRock,3.8,Edinburgh,,,30+ days ago,"In February 2018, BlackRock announced the creation of a new central Data Science team in order to accelerate innovation and technology in artificial…"
18,"AI Labs Product Manager - Trading, Vice President",BlackRock,3.8,Edinburgh,,,30+ days ago,Work with partners and stakeholders to develop a 12-month roadmap for revolutionizing trading using artificial intelligence.
19,Associate Vice President,TalentPartners.js,,Edinburgh,,,20 days ago,"TalentPartners.js works closely with executives and investors at hypergrowth startups across Europe & Silicon Valley, and helps build leading executive,…"
20,Solution Architect,M&GPrudential,3.9,Edinburgh,Edinburgh,,30+ days ago,Artificial intelligence and bot frameworks;What you can expect from us:The successful candidate will work principally on a strategic digital transformation…
21,Web and Social Media Coordinator,University of Edinburgh,4.3,Edinburgh,Edinburgh,,8 days ago,"Informatics is the study of how natural and artificial systems store, process and communicate information.We are seeking to appoint a Web and Social Media Co…"
22,AI Labs Scrum Master - Vice President,BlackRock,3.8,Edinburgh,Edinburgh EH3,,3 days ago,"Experience leading and/or supporting intelligent automation, Data Science or RPA (Robotic Process Automation), intelligent agent or Artificial intelligence…"
23,Solution Architect,Head Resourcing Limited,,Edinburgh,Edinburgh,"£75,000 - £85,000 a year",7 days ago,"Artificial intelligence and bot frameworks.Developing, maintaining and communicating elements of a Digital Reference Architecture that enables the delivery of…"
24,Technical Director,Build A Rocket Boy Ltd.,,Edinburgh,Edinburgh,,30+ days ago,"Collaborate across a diverse cross-disciplinary team to ensure that gameplay, physics, animation, audio, artificial intelligence and user interface goals are…"
25,Internship - Edinburgh,Five AI Inc,,Edinburgh,Edinburgh,,7 days ago,"This could involve you working on machine learning, computer vision, robotics, 3D graphics, 3D mapping/GIS, control systems or probabilistic programming."
26,Communications and Engagement Manager,University of Edinburgh,4.3,Edinburgh,Edinburgh,,13 days ago,"ICMS staff are employed by Heriot-Watt University but are based in the Bayes Centre, the University of Edinburgh’s innovation hub for Data Science and…"
27,Intern Software Engineer - Developer Program Engineer,Codeplay,,Edinburgh,Edinburgh,,5 days ago,Codeplay creates software tools that enable developers to build high performance artificial intelligence and machine learning applications for a range of…
28,AI Labs Data Engineer Associate,BlackRock,3.8,Edinburgh,Edinburgh EH3,,30+ days ago,"In February 2018, BlackRock announced the creation of a new central Data Science team in order to accelerate innovation and technology in artificial…"
29,AI Labs Scrum Master - Vice President,BlackRock,3.8,Edinburgh,,,3 days ago,"Experience leading and/or supporting intelligent automation, Data Science or RPA (Robotic Process Automation), intelligent agent or Artificial intelligence…"
30,IT/IP Associate,HRC Recruitment,,Edinburgh,,,30+ days ago,You have honed excellent drafting skills and first rate technical knowledge over the past few years as a qualified solicitor in the field of TMT and Commercial…
31,AI Labs Data Engineer Associate,BlackRock,3.8,Edinburgh,,,30+ days ago,"In February 2018, BlackRock announced the creation of a new central Data Science team in order to accelerate innovation and technology in artificial…"
32,Associate Vice President,TalentPartners.js,,Edinburgh,,,20 days ago,"TalentPartners.js works closely with executives and investors at hypergrowth startups across Europe & Silicon Valley, and helps build leading executive,…"
33,Research Associate in Automated Planning,Heriot Watt University,4.0,Edinburgh,Edinburgh,,13 days ago,"A PhD in artificial intelligence, automated planning, computer science, robotics, or a related discipline, with significant postdoctoral experience, especially…"
34,Senior Administrative Secretary,University of Edinburgh,4.3,Edinburgh,Edinburgh,,Today,"Informatics is the study of how natural and artificial systems store, process and communicate information.This will include skilled Personal Assistant support."
35,Research Associate,University of Edinburgh,4.3,Edinburgh,Edinburgh,,29 days ago,"Informatics is the study of how natural and artificial systems store, process and communicate information.The School of Informatics, University of Edinburgh…"
36,Lead Data Scientist,Head Resourcing Limited,,Edinburgh,Edinburgh,,30+ days ago,"You will have deep experience in Artificial Intelligence, Machine Learning as well as exposure to other key areas of Data Science such as NLP etc."
37,Data Engineer,PayWizard,3.6,Edinburgh,Kirkcaldy,,30+ days ago,"Our applications are a mix of Java-based subscription management for the broadcast-TV industry, as well as a .net based data analytics and behaviour prediction…"
38,Special Projects Manager,University of Edinburgh,4.3,Edinburgh,Edinburgh,,12 days ago,"Informatics is the study of how natural and artificial systems store, process and communicate information.The School of Informatics is inviting applications…"
39,Operations Manager Edinburgh,Rovco,,Edinburgh,Edinburgh,,24 days ago,To be based in either Bristol or Edinburgh (candidate's choice).Rovco has an opportunity for an Operations Manager to join our expanding teams in Bristol or…
40,QA Automation Lead,Paywizard Group Ltd,3.6,Edinburgh,Kirkcaldy,,3 days ago,"The solutions are fully cloud based in a mix of AWS and Azure environments.As you will lead a team of QA Engineers, some of which will be remote, you will also…"
41,Senior Data Engineer,Head Resourcing Limited,,Edinburgh,Edinburgh,,30+ days ago,As part of this growth they are looking to hire an experienced Data Engineer.This person will join a team of Data Scientists & Data Engineers who work…
42,"AI Labs Product Manager - Trading, Vice President",BlackRock,3.8,Edinburgh,,,30+ days ago,Work with partners and stakeholders to develop a 12-month roadmap for revolutionizing trading using artificial intelligence.
43,AI Labs Scrum Master - Vice President,BlackRock,3.8,Edinburgh,,,3 days ago,Description About this role Technology and Enterprise Services (TES) is a driving strength behind the BlackRock employee experience - delivering strategic…
44,IT/IP Associate,HRC Recruitment,,Edinburgh,,,30+ days ago,"Intellectual Property is boring........ is a common misconception. How could the Yoda patent, the Coca Cola recipe, the Amazon Super Drone and Samsung's…"
45,"AI Labs Product Manager - Trading, Vice President",BlackRock,3.8,Edinburgh,,,30+ days ago,Description About this role As a Product Manager for trading in AI Labs you will play a key role in defining BlackRock’s AI trading capabilities. The main…
46,AI Labs Data Engineer Associate,BlackRock,3.8,Edinburgh,,,30+ days ago,"Description About this role Data Science at BlackRock: In February 2018, BlackRock announced the creation of a new central Data Science team in order to…"
47,Associate Vice President,TalentPartners.js,,Edinburgh,,,20 days ago,"*TalentPartners.js works closely with executives and investors at hypergrowth startups across Europe & Silicon Valley, and helps build leading executive,…"
48,Finance Transformation - Business Analyst/Project Manager,CAPCO,3.5,Edinburgh,Edinburgh,,30+ days ago,Joining Capco means joining an organisation that is committed to an inclusive working environment where you’re encouraged to #BeYourselfAtWork. We celebrate…
49,Lecturer/Senior Lecturer/Reader in Computational Social Scie...,University of Edinburgh,4.3,Edinburgh,Edinburgh,,30+ days ago,"Applications are invited for an academic post in Computational Social Science to join the School of Informatics, at the University of Edinburgh. The post is…"
