,title,company,rating,search_city,location,salary,age,summary
0,Data Architect,Alscient Limited,,Glasgow,,"£50,000 - £65,000 a year",8 days ago,"Experience in any of the following would be advantageous: Data Quality Services, Master Data Management, Data Visualisation, Predictive Analytics, Data Mining,…"
1,Innovation and Impact Officer,University of Glasgow,4.1,Glasgow,Glasgow,"£35,845 - £40,322 a year",6 days ago,"Work with the College Innovation Team, as directed by the College Innovation Manager, to support agreed College priorities, notably in the areas of precision…"
2,Data Scientist,SSE plc,3.0,Glasgow,Glasgow,,13 days ago,"A Degree in Mathematics, Physics, Computer Science, Engineering, Data Science or Artificial Intelligence or equivalent knowledge developed through training or…"
3,RPA- Robotic Process Automation,FDM Group,3.0,Glasgow,Glasgow,,30+ days ago,Some develop further in to Intelligent Automation and become Artificial Intelligence Engineers.What is Robotic Process Automation?*.
4,Technology Risk Officer - Associate,Morgan Stanley,3.9,Glasgow,Glasgow,,30+ days ago,"Additionally the ETR Risk Management function supports the Technology Risk and Technology Transformation & COO divisions, which are responsible for key…"
5,Senior Business Analyst/Technical Lead (BA/PL),NHS Scotland,3.9,Glasgow,Paisley PA1,"£37,570 - £44,688 a year",Today,"Within the innovation environment, much of the technical focus at present is working with partners specializing in Machine Learning and Artificial intelligence…"
6,Data Scientist (NLP and Machine Learning) – KTP Associate,University of West of Scotland,3.4,Glasgow,Glasgow,,9 days ago,"As part of the Trtl team you will be the key contributor in a hugely important anti-counterfeiting platform to detect counterfeit product, working with some of…"
7,Postdoctoral Research Associate in Computational Chemistry,University of Strathclyde,4.3,Glasgow,Glasgow,"£32,817 a year",6 days ago,"In this role, in the research group of Dr David Palmer, you will focus on improving the accuracy of computational predictions of physicochemical and ADMET…"
8,Software Development Manager,Nine Twenty,,Glasgow,Glasgow,,5 days ago,Machine Learning and Artificial Intelligence experience.This is a hands on Software Development Manager role.AWS – or similar cloud platform.
9,Data Engineer,Incremental Group,5.0,Glasgow,Glasgow,,30+ days ago,Knowledge of Machine Learning/ Artificial Intelligence.Experience in building Business Intelligence solutions such as Data Warehousing and Enterprise Data…
10,Machine Learning Lead Engineer - Glasgow - Executive Directo...,J.P. Morgan,3.9,Glasgow,Glasgow G2,,30+ days ago,"Material experience in Artificial Intelligence or other machine learning enabled technology (i.e. text-to-speech, voice/vision recognition, Natural Language…"
11,Senior Java Developer,Be-IT Resourcing,,Glasgow,Central Belt,"£70,000 a year",13 days ago,"Paying a basic salary of up to £70k + 20% bonus.You will be working with cutting edge technologies such as Java 8, Google Cloud Platform, Kubernetes, React or…"
12,Lead Software Developer,Nine Twenty,,Glasgow,Glasgow,,14 days ago,Machine Learning and Artificial Intelligence experience.Many years of experience delivering web application projects in a professional environment.
13,Data Architect,Alscient Limited,,Glasgow,,"£50,000 - £65,000 a year",8 days ago,"Experience in any of the following would be advantageous: Data Quality Services, Master Data Management, Data Visualisation, Predictive Analytics, Data Mining,…"
14,Data Analyst - Cooperate or Investment Banking,experisuk,,Glasgow,,,12 days ago,Data Analyst - Cooperate or Investment Banking.Strong understanding of Data Management concepts and relevant experience in data governance projects.
15,Remote Data Analyst,Siemens Gamesa Renewable Energy,3.8,Glasgow,,,13 days ago,"You to have the ability to formulate a tailored troubleshooting advice in English, based on data obtained remotely, combined with you extensive knowledge of…"
16,Senior Data Analyst,The SmartList,5.0,Glasgow,,"£28,819 - £30,539 a year",4 days ago,"You will be responsible for undertaking data analysis and be able to manipulate large and complex data, with an understanding of database architecture to…"
17,Clinical Quality Data Analyst - Clinical Governance Support...,NHS Scotland,3.9,Glasgow,Glasgow,"£24,670 - £30,742 a year",13 days ago,"Skilled in managing and analysing data, with experience in developing data sets and information flows, and in data handling and analysis."
18,Operations Data Analyst,Morgan Stanley,3.9,Glasgow,Glasgow,,30+ days ago,"Client & Account Data Ops (CADO) resides within the broader Data Operations department.Party Reference Data Ops (creating & validating client counterparty,…"
19,Data Analyst,Barclays,4.0,Glasgow,Glasgow,,11 days ago,Data and Integration Service (DAIS) is a team within Corporate Banking Technology responsible for providing curated data services (the organisation and…
20,CDO - Reference Data Analyst,Barclays,4.0,Glasgow,Glasgow G2,,29 days ago,Reference Data Analyst – Chief Data Office.We have a new vacancy for a Reference Data Analyst within our Chief Data Office.What will you be doing?
21,Events Data Analyst,G4S (UK),3.4,Glasgow,Glasgow,"£28,000 - £35,000 a year",30+ days ago,Monitor and audit data quality.Knowledge of data analysis tools.Experience of statistical methodologies and data analysis techniques.
22,Senior Data Analyst,Change Grow Live,3.5,Glasgow,Stirling,,21 days ago,"You will be responsible for undertaking data analysis and be able to manipulate large and complex data, with an understanding of database architecture to…"
23,Data Analyst / Developer,Hymans Robertson LLP,4.0,Glasgow,Glasgow,,30+ days ago,"There will also be a need to develop new and maintain existing SSIS packages and contribute to the development of automation tools, reports or processes to help…"
24,Data Analyst,GRS Global,,Glasgow,Glasgow G46,"£20,000 - £25,000 a year",30+ days ago,Strong understanding of Data Management concepts and relevant experience in data governance.We are looking for a data analyst with beyond advanced Excel skills…
25,Data Analyst,Pertemps Network Group,3.5,Glasgow,Glasgow,£136 a day,8 days ago,"O KPI data and Balance score card data.Our client, who is based in the Public Sector, has a requirement for an Information and Data Services Analyst."
26,HR Data Analyst - BAE071271,AAP3 IT Recruitment,,Glasgow,Glasgow,£15 - £20 an hour,4 days ago, Extracting and analysing data from various People Data systems. Excellent data presentation and visualisation skills.Advising on changes and improvements.
27,Data Analyst - Cooperate or Investment Banking,experisuk,,Glasgow,,,12 days ago,Data Analyst - Cooperate or Investment Banking.Strong understanding of Data Management concepts and relevant experience in data governance projects.
28,Remote Data Analyst,Siemens Gamesa Renewable Energy,3.8,Glasgow,,,13 days ago,"You to have the ability to formulate a tailored troubleshooting advice in English, based on data obtained remotely, combined with you extensive knowledge of…"
29,HR Data Analyst,Morson International,3.7,Glasgow,Glasgow,£20 an hour,4 days ago,"Data Analyst; Business Analyst; Finance Analyst, MI Analyst; BI Analyst; data management, data manipulation; data extraction; data modelling; SAP; Advanced…"
30,"HR Data Analyst - Excel, Tableau, Microsoft BI",Outsource UK,3.0,Glasgow,Glasgow,£15 - £20 an hour,5 days ago,Overview of the HR Data Analyst.Excellent data presentation and visualisation skills.Relevant data analysis experience and/or qualifications.
