,title,company,rating,search_city,location,salary,age,summary
0,IT Risk and Security (Contract),Capgemini,3.8,Houston,"Houston, TX 77010 (Downtown area)",,Today,Virtual Directory Services Engineer (Radiant Logic / RadiantOne).Provide assistance in integrating Identity and Access Management systems to VDS.
1,Marketing Senior Manager – Artificial Intelligence,Deloitte,4.0,Houston,"Houston, TX 77002 (Downtown area)",,6 days ago,Artificial Intelligence - Senior Strategic Marketing Planner.You will define and execute integrated marketing campaigns that support the Artificial…
2,Artificial Intelligence Resident,Shell,3.9,Houston,"Houston, TX",,30+ days ago,This position is focused on Technical Delivery of software as a subject matter expert (SME) in the fields of Data Science and Artificial Intelligence.
3,Artificial Intelligence - Data Science - Houston,Capgemini,3.8,Houston,"Houston, TX 77010 (Downtown area)",,30+ days ago,Artificial Intelligence - Data Science - Houston-045477.10+ years professional work experience as a data scientist or on advanced analytics / statistics…
4,Capability Network - CFO&EV - Treasury Consultant,Accenture,4.0,Houston,"Houston, TX 77002 (Downtown area)",,Today,"Accenture Treasury Consultants focus on our global client Treasury Management System (TMS) or Enterprise Resource Management (ERP) evaluation, selection,…"
5,Application Consultant - Client Server L2 (Contract),Capgemini,3.8,Houston,"Houston, TX 77010 (Downtown area)",,Today,"Overall experience 7-10 years.Performix MES suite experience – more than 3-4 years.Background in Manufacturing domain , should have handled requirements…"
6,English Speakers/Image Captioners,TransPerfect,3.0,Houston,"Houston, TX 77056 (Galleria-Uptown area)",,30+ days ago,"We are looking for English speakers to join us on a new innovative and interesting job to improve Artificial Intelligence (i.e. as speech or text recognition,…"
7,Data Analytics and Business Intelligence Senior Associate,BDO,3.7,Houston,"Houston, TX 77019 (River Oaks area)",,6 days ago,"Experience with artificial intelligence and machine learning, preferred.The Senior Associate, Data Analytics & Automation is responsible for developing work…"
8,Software Developer - Database L2 (Contract),Capgemini,3.8,Houston,"Houston, TX 77010 (Downtown area)",,Today,10+ years of experience in below skills.Experience in developing and maintaining CI/CD process for applications by accessing tools like Jenkins.
9,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,Houston,"Houston, TX 77002 (Downtown area)",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…"
10,Software Developer - Database L2 (Contract),Capgemini,3.8,Houston,"Houston, TX 77010 (Downtown area)",,Today,10+ years of experience in below skills.Experience in developing and maintaining CI/CD process for applications by accessing tools like Jenkins.
11,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Houston,"Houston, TX 77002 (Downtown area)",,30+ days ago,"Someone who likes to imagine the ‘art of the possible.Synthesizing client needs into clear requirements – e.g., business goals, pain points and value drivers."
12,IT Intern,Tokio Marine HCC,3.1,Houston,"Houston, TX",,30+ days ago,The feedback from the teams were very positive from both Computer Science and Business School MIS students alike.Good written and verbal communication skills.
13,Scientific Informatics Consultant,Accenture,4.0,Houston,"Houston, TX 77002 (Downtown area)",,30+ days ago,"Leveraging digital technologies such as automation, artificial intelligence, Internet of Things, analytics and cloud, in combination with a fundamental redesign…"
14,"Conversational Artificial Intelligence Designer, Manager - A...",Deloitte,4.0,Houston,"Houston, TX 77002 (Downtown area)",,30+ days ago,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
15,Infrastructure Architect (Contract),Capgemini,3.8,Houston,"Houston, TX 77010 (Downtown area)",,Today,"Assist with validation of strategy and technology roadmap for Network Security Architecture, assess, and deliver technical solutions, policies, standards for…"
16,"Conversational Artificial Intelligence Architect, Manger - A...",Deloitte,4.0,Houston,"Houston, TX 77002 (Downtown area)",,30+ days ago,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
17,GPS – TM1 Specialist,Deloitte,4.0,Houston,"Houston, TX 77002 (Downtown area)",,8 days ago,"Deloitte Services LP includes internal support areas such as Marketing and Communications, Human Resources/Talent, Information Technology, Facilities Management…"
18,Security Architect L1 (Contract),Capgemini,3.8,Houston,"Houston, TX 77010 (Downtown area)",,Today,"Assist with planning and executing application and cloud security solutions across the lifecycle - design, implementation and operations."
