,title,company,rating,search_city,location,salary,age,summary
0,Data Architect,Alscient Limited,,Leeds,,"£50,000 - £65,000 a year",8 days ago,"Experience in any of the following would be advantageous: Data Quality Services, Master Data Management, Data Visualisation, Predictive Analytics, Data Mining,…"
1,Senior Teaching Fellow or Teaching Fellow in Artificial Inte...,University of Leeds,4.4,Leeds,Leeds,"£33,797 - £49,553 a year",14 days ago,"You will have a PhD (or close to completion) or extensive relevant industrial experience in artificial intelligence or a closely allied discipline, with…"
2,Content Developers and Tutors (Online Artificial Intelligenc...,Kaplan International,3.9,Leeds,Leeds,,6 days ago,"A credible research track record in a field of Computer Science, Data Science or Artificial Intelligence.Subject areas of interest include but are not limited…"
3,Rugby Operations Executive,PERFORM Group,3.8,Leeds,Leeds,,30+ days ago,Rugby Operations Executive - (UK 2907).Job Title: Rugby Operations Executive.Reports To (title): Senior Rugby Operations Executive.
4,Communications & Marketing,TPP,,Leeds,Leeds LS18,"£45,000 a year",30+ days ago,"TPP’s Communications & Marketing team are the voice of the company.The team manage all aspects of the company’s image, develop our product marketing strategies…"
5,"Digital Insight Week, Leeds, Summer 2020",PwC,4.0,Leeds,Leeds,,30+ days ago,"In order to apply for the Digital Insight Week, you will need to meet the following criteria:In England, Wales and Scotland:Currently in Year 12 or S5."
6,Software Developer – Internship,TPP,,Leeds,Leeds LS18,,30+ days ago,The summer internship is for university students who are in their penultimate year.Our interns typically join us for 12 weeks but we are flexible on duration…
7,KTP Associate – Machine Learning Scientist: Deep learning-ba...,University of Leeds,4.4,Leeds,Leeds,"£40,000 - £50,000 a year",30+ days ago,"Do you have a PhD or post-doctoral experience in physics, maths, machine learning, artificial intelligence, deep learning, computational cognitive sciences,…"
8,Business Analyst,Hiscox,3.7,Leeds,York,,12 days ago,"The UK Business Analyst team consists of 15 BAs across the business and IT domains, located in Colchester, London and York."
9,Finance Manager,PERFORM Group,3.8,Leeds,Leeds,,30+ days ago,"Reports To (title): VP Financial Reporting.WHAT’S YOUR NEW ROLE ABOUT?Reporting directly to the VP Financial Reporting, the successful applicant will have…"
10,Post-Doctoral Research Fellow in Population Modelling for Ur...,University of Leeds,4.4,Leeds,Leeds,"£33,797 - £40,322 a year",30+ days ago,"It proposes to do this through the extraction of value from new and emerging forms of data, and by the development and deployment of methods in artificial…"
11,Data Architect,Alscient Limited,,Leeds,,"£50,000 - £65,000 a year",8 days ago,"Experience in any of the following would be advantageous: Data Quality Services, Master Data Management, Data Visualisation, Predictive Analytics, Data Mining,…"
12,CRM Product Executive,The Stars Group,3.5,Leeds,Leeds,,30+ days ago,The role: CRM Product Executive.We are looking for a CRM Product Executive to join our growing MarTech team based in our Leeds service office.
13,Lecturer in Interactive Media,University of York,4.3,Leeds,York,"£40,322 - £49,553 a year",6 days ago,"Example research areas include, but are not limited to: interactive digital performance, digital media art, HCI and UX design, virtual and augmented reality, 3D…"
14,Lecturer or Associate Professor in Computer Science,University of Leeds,4.4,Leeds,Leeds,"£41,526 - £59,135 a year",14 days ago,"As part of this strategy we are seeking outstanding candidates with a track record of excellence that aligns with the School’s research themes, and in…"
15,IT Software Development Manager,Addleshaw Goddard,3.6,Leeds,Leeds,,10 days ago,"Application of artificial intelligence solutions to business problems inc RPA, machine learning.The role is responsible for the leadership of the internal…"
