,title,company,rating,search_city,location,salary,age,summary
0,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
1,Talent Sourcer (Artificial Intelligence),Apple,4.2,London,London,,30+ days ago,"Passion for sourcing talent and exploring creative search methods.Expert in Boolean search, LinkedIn and the use of ATS packages."
2,Chair in Artificial Intelligence,King's College London,4.2,London,London,,12 days ago,The successful applicant will need an excellent knowledge and awareness of current research and practical challenges in Artificial Intelligence and a sustained…
3,Business Dev Internship (Artificial Intelligence),BCA Associates,,London,London,,24 days ago,A W1 based fast growth proposition using an AI software suite to accelerate and optimise visual content is looking to hire an intern on London Fair Weighting.
4,Research Engineer - Artificial Intelligence,Bloomberg,3.9,London,London,,7 days ago,Bloomberg's Artificial Intelligence (AI) group is a team of engineers and researchers who have a passion for solving complex problems.
5,"Monitoring Engineer, Event Management, Artificial Intelligen...",ResourceFlow Recruitment Ltd,,London,London,,4 days ago,"Monitoring Engineer, Event Management, Artificial Intelligence Operations.We are looking for a Product Support Engineer from Monitoring and Event Management…"
6,Private Equity Analyst - Part-time / full-time,Gain.pro,,London,London E1,,30+ days ago,What will be your role?You perform analyses that our customers rely on to take informed investment decisions.Qualify for a full-time next-level position.
7,Artificial Intelligence (AI) Systems Manager,Allen Lane,,London,London,£220 - £250 a day,7 days ago,The role will run until April 2021 at the earliest and is offering INSIDE of IR35 rates.This Programme is creating a Data and AI infrastructure based on open…
8,Robotics & Artificial Intelligence Consultant - Customer to...,Kaizen Kulture Ltd,,London,London,,30+ days ago,We are a boutique business process reengineering consultancy seeking a number of programme managers and RPA/AI software engineers to work with our clients in…
9,"Specialised SA, Artificial Intelligence / Machine Learning (...",AWS EMEA SARL (UK Branch),3.6,London,London,,30+ days ago,"Specialised SA, Artificial Intelligence / Machine Learning (AI/ML).5+ years of experience in the design and implementation of complex IT solutions (including…"
10,ARTIFICIAL INTELLIGENCE AND ALGORITHM PRO,DataSpartan Consulting,,London,London EC2V,,30+ days ago,"Machine Learning and Risk Modelling.Deep and passionate knowledge of software engineering principles, practices.In this role, you will:"
11,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
12,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
13,"Project coordinator in security, data protection and ethics",Trilateral Research Ltd,,London,,,12 days ago,"Artificial intelligence: 1 year (Preferred).Candidates should have post-doctoral experience in cybersecurity, data protection, artificial intelligence and/or…"
14,Promontory Analyst,IBM,3.9,London,London,,30+ days ago,"By delivering artificial intelligence, analytics, security, blockchain and cloud technology as a service, and in a complete platform tailored to the needs of…"
15,Golang Technical Lead - Artificial intelligence - Perm,Mcgregor Boyall,4.0,London,London,,4 days ago,A global online healthcare provider is hiring a London based Golang Technical lead to work in their London office.
16,Part-time CFO,Nexus Frontier Tech,,London,London,,12 days ago,Develop growth strategies and lead financial planning for leading innovator in high growth artificial intelligence.Refine and report on the business KPIs.
17,"Director, Strategic Initiatives, Cyber & Intelligence Soluti...",MasterCard,4.1,London,London,,30+ days ago,"Experience in payments, cybersecurity, artificial intelligence markets an asset.C&I provides solutions in the areas of cybersecurity, digital identity,…"
18,ARTIFICIAL INTELLIGENCE SPECIALIST,DataSpartan Consulting,,London,London EC2V,,30+ days ago,"Machine Learning and Risk Modelling.Deep and passionate knowledge of software engineering principles, practices.In this role, you will:"
19,Research Associate,King's College London,4.2,London,London,"£38,304 - £45,026 a year",Just posted,"We are looking to employ a research associate to work on 5G communication for Unmanned Aerial Vehicles (commonly known as drones), and the use of artificial…"
20,"Insights Manager, M4D",GSMA,3.7,London,London,,6 days ago,Produce cutting edge research and insights to provide the M4D programme and its stakeholders with intelligence and analysis on frontier tech and other topics.
21,Natural Language Processing Data Scientist,Adarga,,London,London W1J,,4 days ago,"We are looking for a talented NLP Data Scientist to join our team working across a modern, web-focused technology stack.Nice to have but not mandatory:"
22,"Sales Executive – Fintech, Artificial Intelligence",Harrington Starr,,London,London,"£45,000 a year",5 days ago,"Sales Executive – Fintech, Artificial Intelligence.Gain valuable experience in the artificial intelligence technology space.What’s in it for you?"
23,"Programme Manager - Data, Cloud and Artificial Intelligence",techUK,3.5,London,London,,30+ days ago,"TechUK’s Data, Cloud Computing and Artificial Intelligence Programme works to;This role supports the Associate Director of Technology and Innovation in…"
24,Sponsorship Media Manager - (B2B Conference Sales),WMOL,,London,,"£16,000 - £20,000 a year",30+ days ago,We are looking for a recent experienced or fresh graduate looking for a career in B2B conference sales in high tech industry verticals like Internet of Things …
25,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
26,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
27,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
28,Sponsorship Manager / Business Development Manager,Global Market Summits – Chancery Lane,,London,,"£35,000 - £50,000 a year",1 day ago,"As a Business Development Manager, you will be responsible for securing new commercial partners, sponsorship revenue, the delivery aspect of booked clients,…"
29,KPMG Research Analyst - Due Diligence,KPMG,4.0,London,Canary Wharf,,30+ days ago,The analyst will evaluate findings provided by an Artificial Intelligence tool.The KPMG Corporate Intelligence (CI) team is looking for paid Researchers\* to…
30,Data Science Graduate,Colt Technology Services,4.0,London,London,,30+ days ago,"You will work with exciting technology initiatives such as chatbots, blockchain, and artificial intelligence.This rotation focuses on emerging technologies and…"
31,Senior Sales Manager,Informa,3.6,London,London SE1,,Today,"Undertaking client mapping exercises within key industry sectors relevant to Tractica's coverage areas: Artificial Intelligence, Robotics and Advanced Computing…"
32,"Vice President, Strategic Initiatives, Cyber & Intelligence...",MasterCard,4.1,London,London,,30+ days ago,"Experience in payments, cybersecurity, artificial intelligence markets an asset.C&I provides solutions in the areas of cybersecurity, digital identity,…"
33,Conversational Analyst – Artificial Intelligence (AI) - Lond...,MediaAndLanguageJobs.co.uk,,London,London,"£22,000 a year",30+ days ago,Conversational Analyst – Artificial Intelligence (AI) - London*.No prior experience working with artificial intelligence is necessary - all relevant training…
