,title,company,rating,search_city,location,salary,age,summary
0,Administrative Assistant II - Artificial Intelligence,USC,4.2,Los+Angeles,"Marina del Rey, CA",,30+ days ago,The Artificial Intelligence Division of Information Sciences Institute (ISI) seeks an Administrative Assistant II to provide support to multiple researchers…
1,Network Engineer (Contract),Capgemini,3.8,Los+Angeles,"Burbank, CA 91505",,Today,"Site Surveys (Each IDF per building): Identify wiring, power and rack space conditions (note down IDF closet number) – understand areas for improvement."
2,Computer Science/Information Technology,Knobbe Martens Olson & Bear LLP,4.2,Los+Angeles,"Los Angeles, CA",,1 day ago,"We are looking for associate attorney candidates with CS/IT backgrounds and 3 - 8 years of legal experience in patent prosecution, including drafting and…"
3,"Sourcer, AR/VR",Facebook,4.2,Los+Angeles,"Los Angeles, CA",,30+ days ago,"Work closely with Recruiters and hiring managers to deeply understand the requirements of the role, the function and how it fits into the organization."
4,Business Development Manager (Hunter),Wipro Limited,3.8,Los+Angeles,"Los Angeles, CA",,1 day ago,The team is expanding significantly over the last couple of years and adding new solutions and emerging technologies in its umbrella of services including but…
5,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Los+Angeles,"Los Angeles, CA",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…"
6,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,Los+Angeles,"Los Angeles, CA 90013",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…"
7,Account Executive - North America (Los Angeles),Echobox,,Los+Angeles,"Los Angeles, CA",,30+ days ago,You will work closely with our VP Sales to acquire and build successful customer relationships in your region.Minimum 2.1 degree from a top tier university.
8,Regional Director - North America (Los Angeles),Echobox,,Los+Angeles,"Los Angeles, CA",,30+ days ago,You will work closely with our VP Sales to acquire and build successful customer relationships in your region.Minimum 2.1 degree from a top-tier university.
9,Tech & Narrative Lab Assistant,RAND Corporation,3.9,Los+Angeles,"Santa Monica, CA 90401",,10 days ago,"The TNL supports experimentation in the broad areas of Internet of Things, Artificial Intelligence/Machine Learning, Augmented/Virtual Reality, and digital…"
10,Tech & Narrative Lab Assistant,RAND Corporation,3.9,Los+Angeles,"Santa Monica, CA 90401 (Santa Monica Pier Area/Ocean Avenue area)",,10 days ago,"The TNL supports experimentation in the broad areas of Internet of Things, Artificial Intelligence/Machine Learning, Augmented/Virtual Reality, and digital…"
11,Reservoir Engineer - Algorithm Development,Beyond Limits,3.8,Los+Angeles,"Glendale, CA",,24 days ago,Our Oil and Gas division is currently in need of a Reservoir Engineer to join us in a fast-paced team.The successful candidate will be involved in the design…
12,Shop & Engineering Research Assistant,Applied Invention LLC,,Los+Angeles,"Burbank, CA 91506",,30+ days ago,"We are a group of experienced technologists that have especially strong skills in building complex systems that incorporate data analytics, artificial…"
13,Business Analyst (Contract),Capgemini,3.8,Los+Angeles,"Universal City, CA",,Today,"We are looking for talented, highly motivated Senior Business Analyst to join the team.This is a functional, not technical, position working closely with…"
