,title,company,rating,search_city,location,salary,age,summary
0,Senior Software Engineer,Rinicare Ltd,,Manchester,,"£45,000 - £60,000 a year",30+ days ago,"We are looking for a Senior Software Engineer, working on our next generation of products.You will be based at our Alderley Park office, which is the UK’s…"
1,Transactional Lawyer - Commercial,BCL Legal,4.2,Manchester,,"£53,000 - £85,000 a year",8 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
2,Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.Different thinking for a Different world."
3,Data Scientist,Age Check Certification Scheme,,Manchester,,"£22,000 - £25,000 a year",14 days ago,We test that age check systems work.You will work with our Certification Team to carry out data analysis and reporting internally and for clients.
4,Transactional Lawyer - Litigation,BCL Legal,4.2,Manchester,,"£52,000 - £75,000 a year",3 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
5,Associate Vice President,TalentPartners.js,,Manchester,,,20 days ago,"TalentPartners.js works closely with executives and investors at hypergrowth startups across Europe & Silicon Valley, and helps build leading executive,…"
6,Researcher,University of Salford,4.3,Manchester,Salford,,5 days ago,The Centre for Robotics and Autonomous System at the University of Salford is one of the largest Robotics groups in the UK.
7,Research Associate (Smart Grids),Manchester Metropolitan University,4.3,Manchester,Manchester,"£30,942 - £34,804 a year",5 days ago,"You will contribute to the development of new areas in the specific area of Artificial Intelligence/ Machine Learning, Blockchain, gamification of energy, peer…"
8,Data Scientist,Peak,,Manchester,Manchester,"£30,000 - £50,000 a year",30+ days ago,"You’ll work as a key part of the data science team, who shape our products and drive growth by transforming how our customers operate."
9,Sales Development Representative,Peak,,Manchester,Manchester,,7 days ago,"An entry level role, working closely with the sales & marketing teams to identify and develop opportunities for the sales team."
10,Lead Product Manager,Peak,,Manchester,Manchester,,Just posted,The platform & products incorporate machine learning and artificial intelligence algorithms to revolutionise the way companies use their data.
11,Marie Sklodowska-Curie ITN Early Stage Researcher,The University of Manchester,4.3,Manchester,Manchester M1,"£34,773 - £47,823 a year",13 days ago,"An undergraduate/master level project in Computer science, Robotics, Artificial Intelligence or allied disciplines is required."
12,Graduate Programme Audit Digital Audit Manchester Spring 202...,PwC,4.0,Manchester,Manchester,,30+ days ago,Audit - Digital Audit graduate programme.Auditing Digital Auditing our client’s technology to give them assurance that security and controls are in place.
13,Level 2 Service Desk Analyst,ANS Group,4.5,Manchester,Manchester,,30+ days ago,Our Managed Services Team is in need of an experienced Service Desk Analyst.Ensure all tickets are processed within service level agreements and KPI’s.
14,Client Director - North,ANS Group,4.5,Manchester,Manchester,,30+ days ago,ANS is looking for a Client Director with experience in selling Microsoft Dynamics 365 to join our Sales team in Manchester.Deal with large value contracts.
15,PE Software Digital Platform Graduate,Jaguar Land Rover,3.8,Manchester,,"£29,000 a year",30+ days ago,"Focusing on vehicle connection, offboard digital platform, big data, machine learning, artificial intelligence, Internet of things (IOT), and customer facing in…"
16,Data Scientist,Age Check Certification Scheme,,Manchester,,"£22,000 - £25,000 a year",14 days ago,We test that age check systems work.You will work with our Certification Team to carry out data analysis and reporting internally and for clients.
17,PE Software Digital Platform Graduate,Jaguar Land Rover,3.8,Manchester,,"£29,000 a year",30+ days ago,"Focusing on vehicle connection, offboard digital platform, big data, machine learning, artificial intelligence, Internet of things (IOT), and customer facing in…"
18,Transactional Lawyer - Litigation,BCL Legal,4.2,Manchester,,"£52,000 - £75,000 a year",3 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
19,Senior Software Engineer,Rinicare Ltd,,Manchester,,"£45,000 - £60,000 a year",30+ days ago,"We are looking for a Senior Software Engineer, working on our next generation of products.You will be based at our Alderley Park office, which is the UK’s…"
20,Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.Different thinking for a Different world."
