,title,company,rating,search_city,location,salary,age,summary
0,"Counsel, Cyber & Intelligence Solutions and Digital Products...",MasterCard,4.1,Miami,"Miami, FL 33132 (Downtown area)",,30+ days ago,"This innovative team helps develop the next generation of Mastercard product solutions with respect to authentication, artificial intelligence, behavioral…Online ApplicationPotential candidates may apply by completing a standardized online form.Leadership ExperienceExperience providing direction to individuals in any environment.Intellectual Property LawKnowledge and experience working with laws related to protecting the rights of creators of original works of the mind such as inventions, literary and artistic works. Specific areas of focus include copyrights, trademarks, and patents.Disability FriendlyIndividuals with disabilities are encouraged to apply.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.PortugueseProficiency in the Portuguese language.+2 moreLaw DegreePostsecondary degree in law, typically a juris doctorate.General CounselWork providing various legal support for organizations in the Office of General Counsel, a department that provides support on a broad range of legal issues."
1,Architecture CRUNCH Student Research Assistant,Florida International University,4.3,Miami,"Miami, FL",$12 an hour,Just posted,"Machine Learning and Artificial Intelligence/ Backend Developer - Possible Skills / Software.The FIU Architecture department under PI Prof.C/C++Generic programming language developed by Bjarne Stroustrup. C is standardized by the ISO (International Standards Organization) and ANSI (American National Standards Institute). C++ is standardized by the ISO.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.MySQLOpen-source relational database management system written in C/C++ and developed by Oracle.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.PythonAn interpreted, open-source programming language.+16 moreOnline ApplicationPotential candidates may apply by completing a standardized online form.Criminal Background CheckBackground check should meet employer's standards for lack of past criminal history.HTML5Hypertext Markup Language (HTML) is the standard language for building web pages and applications. HTML5 is the fifth version.Fingerprint ClearanceFingerprint identify verification. This varies by state.Part-timeAn employee will work less than full time.ArcGISGeographic information system (GIS) software used for creating maps and analyzing geospatial data.CSSA style sheet language that, when paired with a markup language, describes the visual presentation of a document. Developed and maintained by the W3C (World Wide Web Consortium).GISA framework for gathering, managing, and analyzing geospatial data.Human ResourcesSkill or experience performing general human resources functions or duties.RevitBuilding information modeling software developed by Autodesk that is used primarily for designing buildings.MongoDBOpen-source NOSQL document-oriented database..NETA back-end software framework developed by Microsoft. .NET encompasses an array of software development tools.Adobe After EffectsMotion graphics and visual effects editing software.GrasshopperA visual programming language and environment that runs within the Rhinoceros 3D CAD (computer-aided design) application.PHPA programming language used mainly for web development.UnityA cross-platform game engine used for developing video games."
2,Artificial Intelligence Software Engineer III *1 yr Assignme...,Nova Southeastern University,3.9,Miami,"Fort Lauderdale, FL 33314",,30+ days ago,"Design, modify, develop, write and implement chatbots, artificial intelligence applications and components.Create technical specifications, unit testing, and…FTPA network protocol used to transfer files between client and server devices.Criminal Background CheckBackground check should meet employer's standards for lack of past criminal history.EncryptionKnowledge of or experience with computationally secure protocols.SSLA protocol for secure communication over computer networks.Service-Oriented ArchitectureExperience with service-oriented architecture, a method of organizing software by the deployment of services.SSISExperience developing, maintaining, and using SSIS (SQL Server Integration Services), a Microsoft SQL Server data integration platform.+23 moreWCFA framework for building service-oriented applications.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. AzureA cloud computing platform developed by Microsoft.Application DevelopmentExperience or skill in developing computer or mobile device applications.Data StructuresExperience or skill with the organization and storage of data that allows for easy access and modification.Software DevelopmentExperience in or knowledge of software development.Microsoft SQL ServerProprietary relational database management system written in C/C++ and developed by Microsoft.SOAPA protocol for sending and receiving information over HTTP or SMTP.AgileKnowledge of or experience managing projects in incremental iterations to continually maximize flexibility and efficiency of a process.Unit TestingExperience with unit testing, a software development process whereby the smallest testable parts of operation (units) are individually tested.DebuggingSkill or experience in the process of finding and fixing bugs, errors, and problems in code, computer software, or computer hardware.C#Object-oriented programming language developed by Microsoft as part of the .NET framework infrastructure.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.High School Diploma or GEDDegree granted at the completion of academic schooling typically covering grades 9-12, or a degree granted at the completion of testing certifying academic attainment equivalent to a high school education.GitA version-control system for source code management..NETA back-end software framework developed by Microsoft. .NET encompasses an array of software development tools.MVCThe software architectural pattern that divides an application into three components: the model, the view, and the controller.Entity FrameworkAn open-source mapping framework used to map objects in software to a relational database's tables and columns.CSSA style sheet language that, when paired with a markup language, describes the visual presentation of a document. Developed and maintained by the W3C (World Wide Web Consortium).HTML5Hypertext Markup Language (HTML) is the standard language for building web pages and applications. HTML5 is the fifth version.SQLProgramming language used for interacting with data held in a relational database.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.APIsSkill or experience with programming interfaces that allow communication between products or services."
3,Capability Network - CFO&EV - Treasury Consultant,Accenture,4.0,Miami,"Miami, FL 33134",,Today,"Accenture Treasury Consultants focus on our global client Treasury Management System (TMS) or Enterprise Resource Management (ERP) evaluation, selection,…Cash ManagementExperience with or knowledge of corporate collection, management, and investment of cash.Management ExperienceExperience managing personnel in a professional setting.TravelA job that requires travel.Relationship ManagementExperience managing a company's continuous engagement with its target audience.Disability FriendlyIndividuals with disabilities are encouraged to apply.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.+8 moreCommunication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Certified Treasury ProfessionalA certification awarded by the Association for Financial Professionals upon passing an exam which covers five major areas of treasury management: corporate treasury function, cash and liquidity management, working capital management, capital markets and funding, and treasury operations and controls.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.Program ManagementExperience with program management. Program management may include planning or managing multiple related projects or initiatives, or improving organizational efficiency and outcomes.Treasury ManagementExperience with treasury management and the products associated with it. Treasury management is the process of managing financial assets, including mitigating risk and managing liquidity, for businesses or individuals.Cash HandlingSkill or experience with cash handling, such as giving and receiving money, in a retail or hospitality setting.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Risk ManagementExperience identifying and mitigating potential future risk."
4,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,Miami,"Miami, FL 33131 (Downtown area)",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…TravelA job that requires travel.Engineering DegreePostsecondary degree in engineering. KafkaAn open-source platform for processing real time data.Monday to FridayA work schedule that covers Monday through Friday.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. TensorFlowAn open-source software library used for numerical computation for building machine learning applications.+15 moreNatural Language ProcessingExperience with Natural Language Processing, a process that focuses on interaction between computers and human languages.JavaA compiled programming language and computing platform. Runs mainly on servers.Mathematics DegreePostsecondary degree in mathematics, applied mathematics, probability, or number theory. Data MiningSkill in data mining techniques used to identify patterns in large amounts of data.AnalyticsExperience or skill with finding and analyzing patterns in data.AWSExperience with Amazon Web Services, a platform which provides a wide array of information technology services to individuals or organizations. Services include but are not limited to cloud computing, data storage, database services, business applications, and content delivery. Microsoft PowerpointPresentation software.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.SparkAn open-source data processing engine for running analytics.ApacheSet of open source software developed by the Apache Software Foundation.PegasystemsA software suite of Pegasystems products designed to improve customer and business process management.VisioVector graphics creation software for flowcharts and diagrams.TroubleshootingSkill in troubleshooting and problem solving."
5,"Director, Creative Tech",Royal Caribbean Cruises Ltd.,4.2,Miami,"Miami, FL 33132 (Port of Miami - Dodge Island area)",,4 days ago,"The ideal candidate will also have an eye toward the rapidly evolving digital landscape and provide leadership over possible uses of advanced technology…ExcelSpreadsheet software developed by Microsoft.Leadership ExperienceExperience providing direction to individuals in any environment.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Disability FriendlyIndividuals with disabilities are encouraged to apply.Health InsuranceA type of insurance that covers the whole or part of an insured person's medical expenses.+1 moreAIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks."
6,Business Intelligence/Data Warehouse Architect,Starboard Cruise Services,3.9,Miami,"Miami, FL 33166",,3 days ago,"Strong understanding of Machine Learning concepts, including algorithms, statistical models and artificial intelligence.Position Type/Expected Hours of Work.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. TravelA job that requires travel.AWSExperience with Amazon Web Services, a platform which provides a wide array of information technology services to individuals or organizations. Services include but are not limited to cloud computing, data storage, database services, business applications, and content delivery. JavaA compiled programming language and computing platform. Runs mainly on servers.PythonAn interpreted, open-source programming language.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.+28 moreAzureA cloud computing platform developed by Microsoft.Big DataExperience using large amounts of data to extract and analyze insights about products, populations, or services. AnalyticsExperience or skill with finding and analyzing patterns in data.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Data ModelingExperience or skill with the process of creating conceptual representations of data objects and their relationships.Full-timeAn employee will work full time.Business IntelligenceSkill in the application of corporate data analysis to help make informed business decisions.SQLProgramming language used for interacting with data held in a relational database.Power BIBI (business intelligence) and business analytics software from Microsoft. Data WarehouseExperience working with data warehouses, or repositories of organizational data, and making the data available and usable for analysis.Time ManagementExperience or skill managing time in order to complete tasks quickly and efficiently. BudgetingExperience in the management of budgets. Budgeting experience can include forecasting, development, planning, or tracking.SSRSExperience developing, maintaining, and using SSRS (SQL Server Reporting Services), a Microsoft SQL Server reporting generation system.Statistics DegreePostsecondary degree in statistics. High AvailabilityExperience or skill in designing or assessing a system's ability to operate continuously for a long length of time without failure.PerlA general-purpose programming language often used for developing web applications and scripting.Data MiningSkill in data mining techniques used to identify patterns in large amounts of data.PL/SQLA procedural language extension to Oracle's Structured Query Language (SQL).T-SQLAn extension to SQL (Structured Query Language). Often used with Microsoft SQL Server.Information Systems DegreePostsecondary degree in information systems. It may cover the same information as other IT degrees, but is focused on what types of technology work best for a business problem.OfficeA job that is performed in an office environment.Predictive AnalyticsExperience or knowledge of performing various methods of predictive analytics.Google Cloud PlatformA platform for cloud services offered by Google.C#Object-oriented programming language developed by Microsoft as part of the .NET framework infrastructure.RA software environment and language for statistical computing.Mathematics DegreePostsecondary degree in mathematics, applied mathematics, probability, or number theory. Disaster RecoveryExperience developing and implementing information technology security policies and procedures following natural or human-induced disasters. Disasters include hardware failure and cyber attacks. The goal of recovery is to minimize disruption of business continuity through prompt restoration of data, applications, and hardware.Business Continuity PlanningSkill or experience implementing systems of prevention and recovery so that essential functions of a business can continue operating during an unforeseen circumstance such as cyberattacks, natural disasters, or human error."
7,Splunk Subject Matter Expert L3 (Contract),Capgemini,3.8,Miami,"Coral Gables, FL",,Today,"Strong understanding of Splunk (we need somebody with Admin experience, preferably Cluster Admin).Data Analyst set of minds.Good to know NodeJS and Python.SQLProgramming language used for interacting with data held in a relational database.Node.jsAn open source server environment based on JavaScript.ScriptingExperience writing computer scripts, typically to automate tasks. Common scripting languages include Python, Perl, and Java.PowerShellA command-line shell and scripting language developed by Microsoft, used mainly on Windows systems.SplunkA suite of software products used to collect, index, and analyze large amounts of machine-generated data. LinuxOpen-source kernel for a family of operating systems.+6 moreMicrosoft Windows ServerA Windows-based operating system for servers.IISA general-purpose web server from Microsoft.NetworkingSkill or experience working with computer networks.Shell ScriptingScripts that run in a Unix or Windows shell.PythonAn interpreted, open-source programming language.ContractAn employee will work for a fixed rate and duration."
8,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Miami,"Miami, FL 33134",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Online ApplicationPotential candidates may apply by completing a standardized online form.Disability FriendlyIndividuals with disabilities are encouraged to apply.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Mobile ApplicationsSkill or experience with software applications designed for mobile devices.+2 moreAdobe CampaignCross-channel marketing campaign management software.Salesforce Marketing CloudA customer relationship management system used by marketers. It was previously known as ExactTarget before being acquired by Salesforce."
9,IT Artificial Intelligence Software Engineer IV,Nova Southeastern University,3.9,Miami,"Fort Lauderdale, FL 33314",,30+ days ago,"Develops and implements artificial intelligence solutions across the University.Contributes to the University's success by designing and developing artificial…TravelA job that requires travel.Systems AnalysisExperience with or skill in observing and analyzing technical systems in order to improve development and troubleshooting processes.Criminal Background CheckBackground check should meet employer's standards for lack of past criminal history.On CallThe employee may be expected to be available for irregular work hours or recurring on-call rotations.WeekendsA work schedule that may require work on weekends.CalculusKnowledge or experience in the field of calculus, from basic to advanced.+24 moreService-Oriented ArchitectureExperience with service-oriented architecture, a method of organizing software by the deployment of services.MathKnowledge of or experience with general mathematical concepts.System DesignSkill or experience in designing, mapping, and planning of computer, utility, or construction systems.SSISExperience developing, maintaining, and using SSIS (SQL Server Integration Services), a Microsoft SQL Server data integration platform.WCFA framework for building service-oriented applications.Database DevelopmentExperience or skill with building databases.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. EnglishProficiency in the English language.Associate's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study. An Associate's Degree is considered more advanced than a High School Diploma or GED, but not as advanced as a Bachelor's Degree. Typically requires 2 years of study, and often has a technical focus.  Application DevelopmentExperience or skill in developing computer or mobile device applications.Data StructuresExperience or skill with the organization and storage of data that allows for easy access and modification.Microsoft SQL ServerProprietary relational database management system written in C/C++ and developed by Microsoft.Unit TestingExperience with unit testing, a software development process whereby the smallest testable parts of operation (units) are individually tested.Computer HardwareKnowledge or experience working with computer hardware.C#Object-oriented programming language developed by Microsoft as part of the .NET framework infrastructure.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study..NETA back-end software framework developed by Microsoft. .NET encompasses an array of software development tools.MVCThe software architectural pattern that divides an application into three components: the model, the view, and the controller.Entity FrameworkAn open-source mapping framework used to map objects in software to a relational database's tables and columns.CSSA style sheet language that, when paired with a markup language, describes the visual presentation of a document. Developed and maintained by the W3C (World Wide Web Consortium).HTML5Hypertext Markup Language (HTML) is the standard language for building web pages and applications. HTML5 is the fifth version.SQLProgramming language used for interacting with data held in a relational database.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.AlgebraSkill or experience with algebra."
