,title,company,rating,search_city,location,salary,age,summary
0,Senior Counsel for Telecommunications/Artificial Intelligenc...,New York City LAW DEPARTMENT,3.8,New+York,"Manhattan, NY","$111,595 - $153,666 a year",14 days ago,The Law Department is seeking an experienced attorney to supervise and coordinate its work related to telecommunications and artificial intelligence.
1,"Associate, Artificial Intelligence & Machine Learning",Penguin Random House LLC,4.0,New+York,"New York, NY 10019 (Midtown area)",,30+ days ago,Help us discover text and data relationships to drive our business forward while working with new tools and processes.
2,"Research Engineer, Artificial Intelligence (University Grad)",Facebook,4.2,New+York,"New York, NY 10017 (Midtown area)",,30+ days ago,"You will gain valuable experience in artificial intelligence and AI, publish academic papers and help push forward the understanding of learning and intelligent…"
3,Business Intelligence Associate,Lemonade Insurance Company,,New+York,"SoHo, NY",,17 days ago,Lemonade is a licensed insurance carrier offering renters and homeowners insurance powered by artificial intelligence and behavioral economics and driven by…
4,"Research Intern, Artificial Intelligence",Facebook,4.2,New+York,"New York, NY 10017 (Midtown area)",,30+ days ago,"Devise better data-driven models of human behavior, and/or.Contribute research that can be applied to Facebook product development."
5,Tenured/Tenure-Track Faculty Positions in Artificial Intelli...,Rensselaer Polytechnic Institute,4.0,New+York,"Troy, NY 12180",,30+ days ago,"We seek applications from outstanding candidates at all ranks (assistant, associate, and full professor) who will build upon our existing strengths in these and…"
6,Promontory Analyst,IBM,3.9,New+York,"New York, NY 10002 (Lower East Side area)",,30+ days ago,"By delivering artificial intelligence, analytics, security, blockchain and cloud technology as a service, and in a complete platform tailored to the needs of…"
7,Editorial Writer,The New York Times,4.0,New+York,"New York, NY",,30+ days ago,"This writer will be responsible for producing unsigned editorials and bylined pieces, from enterprising projects to news commentary, on subjects ranging from…"
8,"Senior IT Director, Artificial Intelligence & Innovation",Aspen Dental,2.6,New+York,"East Syracuse, NY 13057",,22 days ago,Represent the company as a technical expert on artificial intelligence and Demonstrate thought leadership as it relates to data science.
9,Genuine X Intern - New York 2020,Jack Morton,3.7,New+York,"New York, NY",,5 days ago,"Discovering and researching emerging technologies and media which will enable us to create more immersive, responsive, curated and connected experiences."
10,"Senior IT Director, Artificial Intelligence & Innovation",Aspen Dental,2.6,New+York,"East Syracuse, NY 13057",,22 days ago,"Lead/manage the Artificial Intelligence & innovation portfolio strategy and pipeline.Reporting to the Vice President of IT, AI/ BI/Data & Innovation the…"
11,Agile Scrum Master L2 (Contract),Capgemini,3.8,New+York,"New York, NY",,Today,Scrum Master / facilitator The scrum master is a facilitator / leader who ensures the Agile Delivery Team adheres to its chosen process and removes the blocking…
12,Agile Coach L2 (Contract),Capgemini,3.8,New+York,"New York, NY",,Today,"The Agile Coach must educate employees at all levels, including senior, and at times clients, on Agile principles, providing them with tools for implementing…"
13,Stock / Forex Trader,Source Enterprises,5.0,New+York,"New York, NY",,30+ days ago,Learn at an accelerated rate.No wasted time or effort.Acquire the most in-demand skills in the industry.Get provided the tools and skills to succeed in Stock…
14,Mobile Engineer,Capital One - US,4.0,New+York,"New York, NY",,2 days ago,"You’ll work with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems."
15,Assistant or Associate Professor of Artificial Intelligence,Long Island University,4.0,New+York,"Brookville, NY 11548",,30+ days ago,"At steady-state, the DHI and SDHE will host about 30 full-time faculty members conducting research and offering bachelor’s and master’s programs in Artificial…"
16,Business Analyst L3 (Contract),Capgemini,3.8,New+York,"New York, NY",,Today,"Gather business requirements using interviews, document analysis, task and workflow analysis.Evalaute information gathered from multiple sources, break down…"
17,"Postdoctoral Researcher, Artificial Intelligence (PhD)",Facebook,4.2,New+York,"New York, NY 10017 (Midtown area)",,30+ days ago,"Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational…"
18,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,New+York,"New York, NY",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…"
19,ALM & Rates Middle Office Specialist,UBS,3.9,New+York,"New York, NY",,13 days ago,"Ready to Conceptualize and develop innovative ways of working with next generation software by utilizing Artificial intelligence, Robotics, Data Visualization &…"
20,Digital Program Coordinator,Informa,3.6,New+York,"New York, NY 10017 (Midtown area)",,3 days ago,"Digital Program Coordinator- Informa Tech | New York, NY.To learn more about this role before applying contact tazrina.afrin@informa.com."
21,CTO,Gage Meyer Engineers PC,,New+York,"New York, NY 10016 (Gramercy area)",,30+ days ago,"You'll be working with cutting edge frameworks, patented automation, and heavy reliance on artificial intelligence/bots.Coach and mentor development team."
22,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,New+York,"New York, NY",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…"
23,"Analyst, Guardian Strategic Ventures",Guardian Life Insurance Company,3.7,New+York,"New York, NY",,11 days ago,"GSV’s purpose is to invest in innovative technologies that will further the business’ key objectives, which includes themes in automation, data and artificial…"
24,Junior C++ Developer,GTS,3.9,New+York,"New York, NY 10022 (Midtown area)",,21 days ago,"As a quantitative trading firm continually building for the future, GTS leverages the latest in artificial intelligence systems and sophisticated pricing models…"
25,Account Executive - North America (New York),Echobox,,New+York,"New York, NY",,30+ days ago,You will work closely with our VP Sales to acquire and build successful customer relationships in your region.Minimum 2.1 degree from a top tier university.
26,Machine Learning Engineer,HBO Max,,New+York,"New York, NY",,30+ days ago,"We are looking for a Machine Learning (ML) Engineer / Data Scientist to help us create artificial intelligence products, especially for the existing new world…"
27,Assistant or Associate Professor of Artificial Intelligence,Long Island University,4.0,New+York,"Brookville, NY 11548",,30+ days ago,"At steady-state, the DHI and SDHE will host about 30 full-time faculty members conducting research and offering bachelor’s and master’s programs in Artificial…"
28,Mobile Engineer,Capital One - US,4.0,New+York,"New York, NY",,2 days ago,"You’ll work with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems."
29,Intern - Machine Learning,GLOBALFOUNDRIES,3.3,New+York,"East Fishkill, NY",,13 days ago,"Develop and implement augmented reality, virtual reality, machine learning and artificial intelligence capabilities in East Fishkill FAB 10."
30,Sales Manager - North America (New York),Echobox,,New+York,"New York, NY",,30+ days ago,You will work closely with our VP Sales to acquire and build successful customer relationships in your region.Minimum 2.1 degree from a top tier university.
31,Front-End Focused Software Developer,EEG Enterprises,,New+York,"Brooklyn, NY","$60,000 - $90,000 a year",30+ days ago,"We are seeking a software developer with a focus on front-end design to create and enhance interactive applications on our cloud services platform eegcloud.tv,…"
32,Client Success Associate,Ocrolus,,New+York,"New York, NY 10005 (Financial District area)",,30+ days ago,"Powered by Artificial Intelligence and a unique human-in-the-loop data validation process, Ocrolus plugs directly into customer workflows via API, eliminating…"
33,"Postdoctoral Researcher, Artificial Intelligence (PhD)",Facebook,4.2,New+York,"New York, NY 10017 (Midtown area)",,30+ days ago,"Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational…"
34,Chief Technology Officer,Ocrolus,,New+York,"New York, NY",,30+ days ago,"Powered by Artificial Intelligence and a unique human-in-the-loop data validation process, Ocrolus plugs directly into customer workflows via API, eliminating…"
35,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,New+York,"New York, NY 10011 (Chelsea area)",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…"
36,Graduate Analyst,ABI Research,,New+York,"New York, NY 10018 (Clinton area)",,30+ days ago,"Focus on one of several technology segments including mobile devices, cellular networks, location technologies, IoT, Robotics, Artificial intelligence, AR and…"
37,Software Engineer - Python (Contract),Capgemini,3.8,New+York,"New York, NY",,Today,Senior level individual with strong Python development skills – 5-6 yrs. experience.Understand requirements from FRD document/create scope document if…
38,Head of New Channels,Lemonade Insurance Company,,New+York,"SoHo, NY",,30+ days ago,"Soho, New York | Business Development | Full-time.We’re looking for an operational leader with a highly creative mind to build and scale distribution for our…"
39,Research Staff Member,IBM,3.9,New+York,"Yorktown Heights, NY 10598",,4 days ago,We are seeking a Research Staff Member and Manager to have daily interactions with group members for project and career guidance as well as daily interactions…
40,Developmental Intern - Data Analytics,New York Power Authority,3.9,New+York,"White Plains, NY 10601",,4 days ago,Familiar with Artificial Intelligence and Machine Learning concepts.Familiar with Artificial Intelligence and Machine Learning concepts.
41,"US Innovation, Digital Product Development, Consultant",Deloitte,4.0,New+York,"New York, NY",,30+ days ago,"Knowledge of artificial intelligence, automation, semantic analytics, and/or visualization technologies highly preferred.Location: New York City, NY."
42,Intern - Global Assortment Planning,Tiffany & Co.,3.8,New+York,"New York, NY",,12 days ago,"Support the application of artificial intelligence to assortment planning with dynamic updates.The ideal candidate will have a strong analytical background,…"
43,"Legal Counsel, Cyber & Intelligence Solutions",MasterCard,4.1,New+York,"Purchase, NY 10577",,30+ days ago,O Provide product development support to the Artificial Intelligence Center and provide solutions-oriented business counsel to the Brighterion product and…
44,"Sourcer, Software Engineering",TMP WORLDWIDE,3.7,New+York,"New York, NY",,3 days ago,"As a team, we are responsible for filling all vacant opportunities (local and remote) across all teams worldwide.Utilize data to drive recruitment activity."
45,Software Developer - Client Server L2 (Contract),Capgemini,3.8,New+York,"New York, NY",,Just posted,Robotic Process Automation Developer delivers automation projects for Capgemini clients.Ensures the delivery of a high-quality solutions meeting client’s…
46,Staff Technologist,Columbia University,4.1,New+York,"New York, NY 10027",,30+ days ago,"Four years of experience and significant expertise in internet architecture, network protocols, cybersecurity, artificial intelligence, system administrations,…"
47,Software Architect - Artificial Intelligence,McKinsey & Company,4.3,New+York,"New York, NY 10022 (Midtown area)",,30+ days ago,"2+ years of experience with Artificial Intelligence, Cognitive Computing, APIs, Machine Learning, Deep Learning Technologies."
48,Java API Engineer,American Express,4.1,New+York,"New York, NY",,Today,"Our teams create solutions on Enterprise platforms by harnessing the power of Integration, Data, Machine Learning, and Artificial Intelligence to offer powerful…"
49,National Expansion Document Specialist,Lemonade Insurance Company,,New+York,"SoHo, NY",,30+ days ago,"Soho, New York | National Expansion | Full-time.We’re looking for a Document Specialist to prepare, manage, file, and publish documents for our regulatory…"
50,Integrations Specialist,Nautilus Labs,,New+York,"New York, NY 10017 (Midtown area)",,4 days ago,"By arming ship owners and operators with real-time predictive decision support, Nautilus is reducing greenhouse gas emissions and making global trade…"
