,title,company,rating,search_city,location,salary,age,summary
0,PhD Studentship: Artificial intelligence enabling next gener...,University of Nottingham,4.2,Nottingham,Nottingham,"£15,009 a year",18 days ago,"This project will bring together expertise in new synthetic chemistry methodology [1, 2] and expertise in the application of artificial intelligence approaches…"
1,Performance Analyst,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£37,803 - £41,585 a year",25 days ago,Roles Responsibilities include (but not limited to):Developing performance measurement frameworks and analyzing the performance of a service/product against…
2,Senior Service Designer,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£37,803 - £41,585 a year",15 days ago,Roles Responsibilities include (but not limited to):Overseeing service design across multiple projects.Development of user-facing features ensuring technical…
3,Security Monitoring Analyst,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£30,131 - £32,691 a year",25 days ago,"Role responsibilities include (but not limited to):Monitoring, maintaining and protecting DVSA property from malicious activity."
4,Platform Lead,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£47,584 - £54,237 a year",15 days ago,Roles Responsibilities include (but not limited to):Systems design and process optimisation.Building maintainable value-based services to meet customer need.
5,Digital Delivery Lead,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£47,584 - £54,237 a year",15 days ago,Roles Responsibilities include (but not limited to):Ensuring changes to existing/new technology are delivered to meet existing business requirements.
6,Solutions Architect,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£37,803 - £41,585 a year",25 days ago,Roles Responsibilities include (but not limited to):Performing architecture services to continuous improvement functions in order to help optimise digital &…
7,Platform Engineer,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham NG1,"£37,803 - £41,585 a year",25 days ago,Role responsibilities include (but not limited to):Building digital services and software solutions to serve a variety of user needs.
8,Security Architect,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£37,803 - £41,585 a year",25 days ago,Role responsibilities include (but not limited to):Please see the Job Description for an in-depth view of the post.DDaT Framework Security Architect DDaT.
9,Scrum Master,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£37,803 - £41,585 a year",15 days ago,Roles Responsibilities include (but not limited to):Coaching a team with Scrum adoption.Coaching technical specialists towards agile working practices.
10,"Software Engineer (CUDA, C++,Algorithms, AI, 3D, machine vis...",Taraz Metrology Ltd,,Nottingham,,,30+ days ago,"We work with the leaders in Additive Manufacturing (or 3D Printing) to develop quality control, manufacturing and inspection systems for next-generation digital…"
11,Senior Data Scientist,Boots,3.7,Nottingham,Nottingham,,29 days ago,"People who are innovative problem solvers, are comfortable working both independently and within a team, willing to take on a high level of ownership and who…"
12,Information Security Manager,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£30,131 - £32,691 a year",25 days ago,Role responsibilities include (but not limited to):Ensuring the security of DVSA’s connection to the PSN and re-certification is maintained.
13,Digital Delivery Support Manager,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham,"£37,803 - £41,585 a year",15 days ago,Roles Responsibilities include (but not limited to):Leading the ongoing evolution and scaling of the organisational design model to support delivery of digital…
14,Senior Digital Quality & Test Engineer,UK Government - Driver and Vehicle Standards Agenc...,3.6,Nottingham,Nottingham NG1,"£37,803 - £41,585 a year",25 days ago,Role responsibilities include (but not limited to):Managing client relationships with respect to testing matters.
15,Photonic Neuromorphic Sensing: Neural Network Algorithm Insp...,University of Nottingham,4.2,Nottingham,Nottingham,,Today,The candidate is expected to design a photonic artificial neural network system on a photonic integrated circuit platform.The ideal candidate will have:
