,title,company,rating,search_city,location,salary,age,summary
0,"Social Science Consultant Researcher, Institute for Ethical...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Institute for Ethical Artificial…"
1,Software Developer/ Engineer Institute for Ethical Artificia...,Oxford Brookes University,4.2,Oxford,,"£35,845 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Ethical Artificial Intelligence…"
2,"Section Leader Validation and Regulatory Affairs, Institute...",Oxford Brookes University,4.2,Oxford,,"£41,526 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University institute for Ethical Artificial…"
3,In vitro Pharmacologist/Enzymologist,Exscientia,,Oxford,Oxford,,30+ days ago,"The Discovery Biology team in Exscientia is responsible for enabling small-molecule therapeutic projects by providing GPCR biology, protein production,…"
4,Research Associate on Enabling Rapid Adoption of Artificial...,University of Oxford,4.3,Oxford,Oxford,,30+ days ago,"The Department of Computer Science has a vacancy for a Research Associate on the ""Enabling Rapid Adoption of Artificial Intelligence through an Anonymised Data…"
5,Senior Research Associate in Artificial Intelligence and Sem...,University of Oxford,4.3,Oxford,Oxford,"£32,817 - £40,322 a year",30+ days ago,Senior Research Associate in Artificial Intelligence and Semantic Technology - 2 posts.We are pleased to announce the availability of a full-time Senior…
6,Research Associate in Artificial Intelligence and Semantic T...,University of Oxford,4.3,Oxford,Oxford,"£32,236 - £39,609 a year",30+ days ago,Research Associate in Artificial Intelligence and Semantic Technology.We are pleased to announce the availability of a full-time Research Associate position in…
7,Senior Research Associate in Artificial Intelligence and Sem...,University of Oxford,4.3,Oxford,Oxford,"£32,236 - £39,609 a year",30+ days ago,Senior Research Associate in Artificial Intelligence and Semantic Technology.We are pleased to announce the availability of a full-time Senior Research…
8,"Validation and Regulatory Affairs Consultant, Institute for...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Institute for Ethical Artificial…"
9,AI Developer/ Engineer Institute for Ethical Artificial Inte...,Oxford Brookes University,4.2,Oxford,,"£35,845 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Ethical Artificial Intelligence…"
10,"Social Science Consultant Researcher, Institute for Ethical...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Institute for Ethical Artificial…"
11,AI Developer/ Engineer Institute for Ethical Artificial Inte...,Oxford Brookes University,4.2,Oxford,,"£35,845 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Ethical Artificial Intelligence…"
12,Software Developer/ Engineer Institute for Ethical Artificia...,Oxford Brookes University,4.2,Oxford,,"£35,845 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Ethical Artificial Intelligence…"
13,"Validation and Regulatory Affairs Consultant, Institute for...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Institute for Ethical Artificial…"
14,"Section Leader Validation and Regulatory Affairs, Institute...",Oxford Brookes University,4.2,Oxford,,"£41,526 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University institute for Ethical Artificial…"
15,Senior Quality Systems Specialist,Ultromics,,Oxford,,"£40,000 - £50,000 a year",30+ days ago,"The Senior Quality Systems Specialist will implement and maintain the quality program and associated procedures to ensure overall compliance with ISO 13485, FDA…"
16,Context Software Engineer Intern,Oracle,3.8,Oxford,Reading,,10 days ago,"Martin Porter; the Oracle Data Cloud contextual intelligence group has deep roots in the use of natural language processing, and information retrieval…"
