,title,company,rating,search_city,location,salary,age,summary
0,Artificial Intelligence Developer,Dechert LLP,3.8,Philadelphia,"Philadelphia, PA 19104 (University City area)",,5 days ago,"Demonstrate knowledge of artificial intelligence and machine learning.A minimum of 5 years of application development work experience with web technologies is…WeekendsA work schedule that may require work on weekends.OfficeA job that is performed in an office environment.Disability FriendlyIndividuals with disabilities are encouraged to apply.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Application DevelopmentExperience or skill in developing computer or mobile device applications.TensorFlowAn open-source software library used for numerical computation for building machine learning applications.+16 moreSoftware DevelopmentExperience in or knowledge of software development.Microsoft SQL ServerProprietary relational database management system written in C/C++ and developed by Microsoft.SOAPA protocol for sending and receiving information over HTTP or SMTP.Natural Language ProcessingExperience with Natural Language Processing, a process that focuses on interaction between computers and human languages.ScriptingExperience writing computer scripts, typically to automate tasks. Common scripting languages include Python, Perl, and Java.Full-timeAn employee will work full time.AgileKnowledge of or experience managing projects in incremental iterations to continually maximize flexibility and efficiency of a process.Relational DatabasesKnowledge of or experience developing, managing, or utilizing data organized in relational tables using SQL (structured query language).C#Object-oriented programming language developed by Microsoft as part of the .NET framework infrastructure.GitA version-control system for source code management.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.DatabasesExperience or skill working with databases.RESTExperience with REST (Representational State Transfer). REST is a protocol for accessing Web services. REST-compliant systems are often called RESTful systems.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.OOPExperience with OOP (object-oriented programming), a programming language model that is organized around the notion of objects rather than actions.PythonAn interpreted, open-source programming language."
1,Res Post Doc Fellow - Fellow in Artificial Intelligence of P...,Children's Hospital of Philadelphia,4.1,Philadelphia,"Philadelphia, PA 19146 (Graduate Hospital area)",,5 days ago,"And will, under the direction/guidance of mentor(s), assume responsibility for research projects in artificial intelligence in pediatric medical imaging.PediatricsMedical specialty focused on acute, chronic, and preventive medical care for children and adolescents.Doctoral DegreeTerminal degree awarded by universities or colleges at the completion of an advanced, research-focused course of study. A Doctoral Degree enables the holder to teach at high levels in universities or colleges, or to work in other specialized professional roles. Day ShiftA shift that starts in or primarily occurs during the day.Disability FriendlyIndividuals with disabilities are encouraged to apply.Computer SkillsKnowledge of or experience with computers.MATLABA programming language and environment used for numerical and technical computation.+7 moreRadiologyMedical specialty focused on the use of medical imaging for the diagnosis and treatment of disease.Full-timeAn employee will work full time.Medical DegreePostsecondary degree in medicine, typically an MD (Doctor of Medicine) degree. Veterinary Medicine DegreePostsecondary degree in veterinary medicine or veterinary science.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. PythonAn interpreted, open-source programming language.Grant WritingExperience composing grant proposals in accordance with guidelines provided by funding institutions."
2,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Philadelphia,"Philadelphia, PA",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Online ApplicationPotential candidates may apply by completing a standardized online form.Disability FriendlyIndividuals with disabilities are encouraged to apply.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Mobile ApplicationsSkill or experience with software applications designed for mobile devices.+2 moreAdobe CampaignCross-channel marketing campaign management software.Salesforce Marketing CloudA customer relationship management system used by marketers. It was previously known as ExactTarget before being acquired by Salesforce."
3,Marketing Senior Manager – Artificial Intelligence,Deloitte,4.0,Philadelphia,"Philadelphia, PA 19103 (Rittenhouse area)",,6 days ago,"Artificial Intelligence - Senior Strategic Marketing Planner.You will define and execute integrated marketing campaigns that support the Artificial…Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.TravelA job that requires travel.ProofreadingExperience reviewing written text for typographical consistency, grammar, and spelling.Leadership ExperienceExperience providing direction to individuals in any environment.Microsoft OfficeSuite of software including Powerpoint, Word, Excel, and Outlook.Marketing AutomationExperience with software that automates repetitive marketing tasks and allows marketers to manage and measure their campaigns.+9 moreCRM SoftwareCRM (customer relationship management) software is used by companies to manage relationships with current and potential customers. Microsoft WordWord processing software.Microsoft PowerpointPresentation software.MarketingExperience with strategies aimed at communicating with a target audience for the purpose of promoting a client or product.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Digital MarketingExperience with product, service, or brand marketing through electronic media, such as email, social media, SEO (search engine optimization), and content marketing.Analysis SkillsSkill at using mental reasoning or research to gain insight into or solve problems.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks."
4,Capability Network - CFO&EV - Treasury Consultant,Accenture,4.0,Philadelphia,"Philadelphia, PA",,Today,"Accenture Treasury Consultants focus on our global client Treasury Management System (TMS) or Enterprise Resource Management (ERP) evaluation, selection,…Cash ManagementExperience with or knowledge of corporate collection, management, and investment of cash.Management ExperienceExperience managing personnel in a professional setting.TravelA job that requires travel.Relationship ManagementExperience managing a company's continuous engagement with its target audience.Disability FriendlyIndividuals with disabilities are encouraged to apply.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.+8 moreCommunication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Certified Treasury ProfessionalA certification awarded by the Association for Financial Professionals upon passing an exam which covers five major areas of treasury management: corporate treasury function, cash and liquidity management, working capital management, capital markets and funding, and treasury operations and controls.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.Program ManagementExperience with program management. Program management may include planning or managing multiple related projects or initiatives, or improving organizational efficiency and outcomes.Treasury ManagementExperience with treasury management and the products associated with it. Treasury management is the process of managing financial assets, including mitigating risk and managing liquidity, for businesses or individuals.Cash HandlingSkill or experience with cash handling, such as giving and receiving money, in a retail or hospitality setting.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Risk ManagementExperience identifying and mitigating potential future risk."
5,Full Stack Ruby on Rails Developer,Power Home Remodeling,4.4,Philadelphia,"Philadelphia, PA 19103",,2 days ago,"Full Stack Ruby on Rails Developer.Power is seeking a full stack Ruby on Rails developer to join the team at our.You will have the opportunity to work with.Disability InsuranceA type of insurance that guarantees a sum of money upon the disability of an insured individual.RubyAn open-source, object-oriented programming language.JenkinsJava-based open-source automation server.KubernetesA system for automating the management of containerized applications.DockerContainer management software. Allows software to be run in the cloud across machines.401(k)A retirement savings plan sponsored by an employer which allows employees to invest tax-deferred, pre-tax or post-tax contributions. Employers may offer matching or non-elective contributions on behalf of employees as an additional benefit. +19 moreAIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. 401(k) MatchingAn employer-sponsored retirement savings plan, with pre-tax or tax-deferred benefits, where employers match employee contributions.GitHubA web-based version control system that uses Git.DevOpsSkill or experience in the agile relationship and processes between software development and IT operations to improve communication and collaboration.GitA version-control system for source code management.Health InsuranceA type of insurance that covers the whole or part of an insured person's medical expenses.BootstrapOpen source framework for developing websites and web applications on the front-end. Originally developed for use at Twitter.ElasticsearchOpen-source Lucene-based enterprise search engine built with Java.Parental LeaveJob-protected maternity, paternity, and adoption leave for new parents.PythonAn interpreted, open-source programming language.Dental InsuranceHealth insurance specifically for dental which may cover teeth cleanings and cavity fillings.MySQLOpen-source relational database management system written in C/C++ and developed by Oracle.ReactA JavaScript library for building user interfaces for web applications.RedisOpen-source data structure project where the database system is considered simultaneously both a store and a cache.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.React NativeAn open source framework to build native mobile apps using JavaScript and React.SwiftA programming language designed by Apple for Apple platforms.LDAPA protocol for accessing and maintaining a distributed directory over the internet."
6,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,Philadelphia,"Philadelphia, PA 19103 (Rittenhouse area)",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…TravelA job that requires travel.Engineering DegreePostsecondary degree in engineering. KafkaAn open-source platform for processing real time data.Monday to FridayA work schedule that covers Monday through Friday.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. TensorFlowAn open-source software library used for numerical computation for building machine learning applications.+15 moreNatural Language ProcessingExperience with Natural Language Processing, a process that focuses on interaction between computers and human languages.JavaA compiled programming language and computing platform. Runs mainly on servers.Mathematics DegreePostsecondary degree in mathematics, applied mathematics, probability, or number theory. Data MiningSkill in data mining techniques used to identify patterns in large amounts of data.AnalyticsExperience or skill with finding and analyzing patterns in data.AWSExperience with Amazon Web Services, a platform which provides a wide array of information technology services to individuals or organizations. Services include but are not limited to cloud computing, data storage, database services, business applications, and content delivery. Microsoft PowerpointPresentation software.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.SparkAn open-source data processing engine for running analytics.ApacheSet of open source software developed by the Apache Software Foundation.PegasystemsA software suite of Pegasystems products designed to improve customer and business process management.VisioVector graphics creation software for flowcharts and diagrams.TroubleshootingSkill in troubleshooting and problem solving."
7,"VP, DGC Privacy & Legal Info Security",Comcast,3.7,Philadelphia,"Philadelphia, PA",,3 days ago,"Guiding business leaders and effectively counseling multiple business partners on data privacy and data security legal requirements for new products and…BarA license to practice law awarded upon passing the bar exam. Additional licensing requirements vary by state.MartechExperience with marketing technology tools.Law DegreePostsecondary degree in law, typically a juris doctorate.TravelA job that requires travel.General CounselWork providing various legal support for organizations in the Office of General Counsel, a department that provides support on a broad range of legal issues.Mobile ApplicationsSkill or experience with software applications designed for mobile devices."
8,Senior Investigator,Siemens,4.0,Philadelphia,"Malvern, PA 19355",,6 days ago,"Siemens Medical Solutions USA, Inc. conducts Siemens Heathineers’ go-to-market activities in North America.The Senior Investigator will report directly to the…Time ManagementExperience or skill managing time in order to complete tasks quickly and efficiently. Disability FriendlyIndividuals with disabilities are encouraged to apply.General CounselWork providing various legal support for organizations in the Office of General Counsel, a department that provides support on a broad range of legal issues.Microsoft OfficeSuite of software including Powerpoint, Word, Excel, and Outlook.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.InterviewingExperience or skill interviewing job candidates.+5 moreBachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Legal DraftingKnowledge or experience drafting legal documents.Law DegreePostsecondary degree in law, typically a juris doctorate.Full-timeAn employee will work full time.Process ImprovementExperience with and knowledge of methods to improve business processes to increase efficiency and quality of outcomes."
9,Senior Technical Editor - United StatesLocations,Certara,3.6,Philadelphia,"Philadelphia, PA 19109",,5 days ago,"Synchrogenix’s Office of Regulatory Intelligence, Policy and Strategy is comprised of proactive policy drivers focused on efficient planning who provide real…Customer ServiceSkill or experience assisting customers before, during, and after purchases to satisfy customer needs.Disability FriendlyIndividuals with disabilities are encouraged to apply.Vision InsuranceHealth insurance specifically for vision which may cover eye exams and eyewear.Computer SkillsKnowledge of or experience with computers.Microsoft PowerpointPresentation software.ExcelSpreadsheet software developed by Microsoft.+6 moreMicrosoft OutlookEmail and calendar software developed by Microsoft. Microsoft WordWord processing software.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Document ManagementKnowledge or experience with the workflow of creation, review, modification, versioning, distribution, and accessibility of technical or professional documents.Educator License With StipulationsA license for individuals who have completed teacher training issued by the Illinois State Board of Education.TransmissionsExperience repairing or replacing engine transmission systems."
10,Software Developer - Mulesoft Developer (Contract),Capgemini,3.8,Philadelphia,"Philadelphia, PA",,Today,Looking for a MuleSoft Developer resource with around 6 to 8 years of experience with following expertise:MuleSoft developer with Java and any Cloud experience…
11,Agile Scrum Master L2 (Contract),Capgemini,3.8,Philadelphia,"Bala-Cynwyd, PA",,Today,"2-3 dev leads, 8-9 years of experience would suffice.We need the candidates to have hands on development experience.Be the technical mentor to the team."
12,AWS Developer (Contract),Capgemini,3.8,Philadelphia,"Wayne, PA",,4 days ago,We are in need of an AWS Developer to join our team.This resource should be famliar with Bamboo and Cloud Formation.
13,Accenture Consulting Digital Summer Analyst,Accenture,4.0,Philadelphia,"Philadelphia, PA",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…"
14,Platform Engineer - DevOps L3 (Contract),Capgemini,3.8,Philadelphia,"Bala-Cynwyd, PA",,Today,IBC is seeking experienced and flexible DevOps Engineer.The ideal candidate believes in exploring alternatives and quickly prototyping to validate hypothetical…
15,Problem Manager Service L1 (Contract),Capgemini,3.8,Philadelphia,"Horsham, PA",,Today,"This job provides policyholder services in an insurance operational environment by primarily receiving and responding to policy changes from policyholders,…"
16,Innovation Management Trainee,DLL Group,4.2,Philadelphia,"Wayne, PA",,6 days ago,Prepare for digitalization/ artificial intelligence integration with business technology support.Global Leadership Development/ Management Trainee Program…
17,Sales Manager - North America (Philadelphia),Echobox,,Philadelphia,"Philadelphia, PA",,30+ days ago,You will work closely with our VP Sales to acquire and build successful customer relationships in your region.Minimum 2.1 degree from a top tier university.
18,"Artificial Intelligence, Senior Consultant - Applied Artific...",Deloitte,4.0,Philadelphia,"Philadelphia, PA 19103 (Rittenhouse area)",,30+ days ago,"Artificial Intelligence, Senior Consultant – Applied Artificial Intelligence.AI Senior Consultants will Architect, Position, Design, Develop and Deploy…"
