,title,company,rating,search_city,location,salary,age,summary
0,Network Technician - Level 1,"Insight Enterprises, Inc.",3.6,Phoenix,"Phoenix, AZ",,Just posted,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
1,English Speakers - Part Time/Full Time - Flexible Schedules,TransPerfect,3.0,Phoenix,"Tempe, AZ 85284",,30+ days ago,"We are looking for English speakers to join us on a new innovative and interesting job to improve Artificial Intelligence (i.e. as speech or text recognition,…"
2,Claims Experience Advocate (SIU),Lemonade Insurance Company,,Phoenix,"Scottsdale, AZ",,30+ days ago,"Scottsdale, Arizona | Claims Experience | Full-time.This means a customer-first mindset.1+ years of investigative, claims and/or compliance experience, with…"
3,Claims Experience Advocate,Lemonade Insurance Company,,Phoenix,"Scottsdale, AZ",,30+ days ago,"Scottsdale, Arizona | Claims Experience | Full-time.We’re on the search for an empathetic, communicative individual to join our claims experience team."
4,Services Operations Specialist,"Insight Enterprises, Inc.",3.6,Phoenix,"Tempe, AZ 85284",,3 days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
5,Summer 360 Internship - Returns (RMA),"Insight Enterprises, Inc.",3.6,Phoenix,"Tempe, AZ 85284",,30+ days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
6,Content Intern (Part Time),"Insight Enterprises, Inc.",3.6,Phoenix,"Tempe, AZ 85284",,30+ days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
7,Claims Experience Advocate (Liability),Lemonade Insurance Company,,Phoenix,"Scottsdale, AZ",,30+ days ago,"Scottsdale, Arizona | Claims Experience | Full-time.We’re on the search for a highly-motivated Liability Claims Adjuster with tons of positive energy and a…"
8,Intern (Pre-Sales Solutions),JDA Software,3.8,Phoenix,"Scottsdale, AZ",,Just posted,"JDA’s Intern (Pre-Sales Solutions) role is part sales, part solution expertise and 100% exciting!We are looking for Juniors to join us for our Summer Sales…"
9,English and Spanish Speakers,TransPerfect,3.0,Phoenix,"Tempe, AZ 85284",,30+ days ago,This data will be used to develop and improve Artificial Intelligence in the form of Virtual Assistants and improve their speech recognition capabilities.
10,Events Coordinator Specialist,"Insight Enterprises, Inc.",3.6,Phoenix,"Tempe, AZ 85284",,30+ days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
11,Sr. Consultant,"Insight Enterprises, Inc.",3.6,Phoenix,"Phoenix, AZ",,30+ days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
12,Program Manager,"Insight Enterprises, Inc.",3.6,Phoenix,"Phoenix, AZ",,4 days ago,"2018 Dell EMC Server Partner of the Year, 2018 Intel Retail Solution Partner of the Year, 2018 Microsoft Worldwide Artificial Intelligence Partner of the Year."
