,title,company,rating,search_city,location,salary,age,summary
0,Business/Operations Summer Internships,Carnegie Mellon University,4.3,Pittsburgh,"Pittsburgh, PA 15213 (North Oakland area)",,30+ days ago,"We're looking for interns from a variety of fields, including:Must be currently enrolled in a degree granting program.Gain Hands on experience in this field.Benefits Administration Experience or skill related to administering employee benefits.Full-timeAn employee will work full time.Disability FriendlyIndividuals with disabilities are encouraged to apply.+1 moreMachine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
1,Machine Learning Summer Internships,Carnegie Mellon University,4.3,Pittsburgh,"Pittsburgh, PA 15213 (North Oakland area)",,30+ days ago,"We're looking for interns from a variety of fields, including:Must be currently enrolled in a degree granting program.Gain Hands on experience in this field.Disability FriendlyIndividuals with disabilities are encouraged to apply.Full-timeAn employee will work full time.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.+2 moreHigh School Diploma or GEDDegree granted at the completion of academic schooling typically covering grades 9-12, or a degree granted at the completion of testing certifying academic attainment equivalent to a high school education.Benefits Administration Experience or skill related to administering employee benefits."
2,Procure to Pay (MM) Consultant,SAP,4.3,Pittsburgh,"Pittsburgh, PA 15212",,3 days ago,"Awareness and knowledge on Machine Learning, Artificial Intelligence and Block Chain functional use cases will be desirable.Employment Type: Regular Full Time.Management ExperienceExperience managing personnel in a professional setting.SAPA suite of software programs and applications developed by SAP SE.Disability FriendlyIndividuals with disabilities are encouraged to apply.+10 moreSAP S/4HANABusiness suite that runs on top of SAP HANA, a relational database management system developed by SAP SE.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.SAP EWMSoftware module from SAP that handles internal processes of warehouse management, as well as logistics integration, labor management, and analytics.SAP Warehouse ManagementSAP software module for processing goods movement and maintaining inventory levels within a warehouse environment.SAP Materials ManagementSAP software module for material, procurement, and inventory management.Full-timeAn employee will work full time.SAP ERPSoftware suite from SAP containing modules on accounting, business intelligence, customer relations, human resources, supply chain, inventory, and manufacturing.SAP Supply Chain ManagementSupply Chain Management solution offered by SAP that covers planning, networking, coordinating, and execution.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
3,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Pittsburgh,"Pittsburgh, PA 15220",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Online ApplicationPotential candidates may apply by completing a standardized online form.Disability FriendlyIndividuals with disabilities are encouraged to apply.+5 moreMaster's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Mobile ApplicationsSkill or experience with software applications designed for mobile devices.Adobe CampaignCross-channel marketing campaign management software.Salesforce Marketing CloudA customer relationship management system used by marketers. It was previously known as ExactTarget before being acquired by Salesforce."
4,Software Engineering Summer Internships,Carnegie Mellon University,4.3,Pittsburgh,"Pittsburgh, PA 15213 (North Oakland area)",,30+ days ago,"We're looking for interns from a variety of fields, including:Must be currently enrolled in a degree granting program.Gain hands on experience in this field.Disability FriendlyIndividuals with disabilities are encouraged to apply.Full-timeAn employee will work full time.High School Diploma or GEDDegree granted at the completion of academic schooling typically covering grades 9-12, or a degree granted at the completion of testing certifying academic attainment equivalent to a high school education.+2 moreBenefits Administration Experience or skill related to administering employee benefits.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
5,Marketing Senior Manager – Artificial Intelligence,Deloitte,4.0,Pittsburgh,"Pittsburgh, PA 15222 (Strip District area)",,6 days ago,"Artificial Intelligence - Senior Strategic Marketing Planner.You will define and execute integrated marketing campaigns that support the Artificial…Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.TravelA job that requires travel.ProofreadingExperience reviewing written text for typographical consistency, grammar, and spelling.+12 moreLeadership ExperienceExperience providing direction to individuals in any environment.Microsoft OfficeSuite of software including Powerpoint, Word, Excel, and Outlook.Marketing AutomationExperience with software that automates repetitive marketing tasks and allows marketers to manage and measure their campaigns.CRM SoftwareCRM (customer relationship management) software is used by companies to manage relationships with current and potential customers. Microsoft WordWord processing software.Microsoft PowerpointPresentation software.MarketingExperience with strategies aimed at communicating with a target audience for the purpose of promoting a client or product.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Digital MarketingExperience with product, service, or brand marketing through electronic media, such as email, social media, SEO (search engine optimization), and content marketing.Analysis SkillsSkill at using mental reasoning or research to gain insight into or solve problems.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks."
6,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,4.0,Pittsburgh,"Pittsburgh, PA 15222 (Strip District area)",,30+ days ago,"Applied Artificial Intelligence - Artificial Intelligence – Consultant.AI Consultants will Architect, Position, Design, Develop and Deploy enterprise solutions…TravelA job that requires travel.Engineering DegreePostsecondary degree in engineering. KafkaAn open-source platform for processing real time data.+18 moreMonday to FridayA work schedule that covers Monday through Friday.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. TensorFlowAn open-source software library used for numerical computation for building machine learning applications.Natural Language ProcessingExperience with Natural Language Processing, a process that focuses on interaction between computers and human languages.JavaA compiled programming language and computing platform. Runs mainly on servers.Mathematics DegreePostsecondary degree in mathematics, applied mathematics, probability, or number theory. Data MiningSkill in data mining techniques used to identify patterns in large amounts of data.AnalyticsExperience or skill with finding and analyzing patterns in data.AWSExperience with Amazon Web Services, a platform which provides a wide array of information technology services to individuals or organizations. Services include but are not limited to cloud computing, data storage, database services, business applications, and content delivery. Microsoft PowerpointPresentation software.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.SparkAn open-source data processing engine for running analytics.ApacheSet of open source software developed by the Apache Software Foundation.PegasystemsA software suite of Pegasystems products designed to improve customer and business process management.VisioVector graphics creation software for flowcharts and diagrams.TroubleshootingSkill in troubleshooting and problem solving."
7,Intern,NetApp,4.1,Pittsburgh,"Cranberry Township, PA 16066",,30+ days ago,"Cloud Data Services (CDS): By harnessing the power of hybrid cloud data services, customers gain the freedom of choice to securely manage and move data –…PerlA general-purpose programming language often used for developing web applications and scripting.Cloud InfrastructureExperience working with cloud computing infrastructure.Doctoral DegreeTerminal degree awarded by universities or colleges at the completion of an advanced, research-focused course of study. A Doctoral Degree enables the holder to teach at high levels in universities or colleges, or to work in other specialized professional roles. +20 moreShell ScriptingScripts that run in a Unix or Windows shell.LinuxOpen-source kernel for a family of operating systems.C/C++Generic programming language developed by Bjarne Stroustrup. C is standardized by the ISO (International Standards Organization) and ANSI (American National Standards Institute). C++ is standardized by the ISO.ScriptingExperience writing computer scripts, typically to automate tasks. Common scripting languages include Python, Perl, and Java.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.RubyAn open-source, object-oriented programming language.DevOpsSkill or experience in the agile relationship and processes between software development and IT operations to improve communication and collaboration.Information Systems DegreePostsecondary degree in information systems. It may cover the same information as other IT degrees, but is focused on what types of technology work best for a business problem.Computer Engineering DegreePostsecondary degree in computer engineering, including degrees in hardware engineering and software engineering. A degree in computer engineering focuses on hardware and software development.Node.jsAn open source server environment based on JavaScript.Computer Science DegreePostsecondary degree in computer science, including degrees in information technology. A degree in computer engineering focuses on programming, data architecture, algorithms, and theory.JavaA compiled programming language and computing platform. Runs mainly on servers.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.TypeScriptAn open-source programming language from Microsoft.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.AngularOpen source web application platform managed largely by the Angular Team at Google.PythonAn interpreted, open-source programming language.Analysis SkillsSkill at using mental reasoning or research to gain insight into or solve problems.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing."
8,Cyber Security Summer Internship,Carnegie Mellon University,4.3,Pittsburgh,"Pittsburgh, PA 15213 (North Oakland area)",,30+ days ago,"We're looking for interns from a variety of fields, including:Must be currently enrolled in a degree granting program.Gain Hands on experience in this field.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.Malware AnalysisExperience with malware analysis concepts or methods. Malware analysis involves assessing the origin, function, and potential consequences of malware such as a virus or Trojan.Full-timeAn employee will work full time.+1 moreDisability FriendlyIndividuals with disabilities are encouraged to apply."
9,Sr. Retail Procure to Pay (MM) Consultant,SAP,4.3,Pittsburgh,"Pittsburgh, PA 15212",,7 days ago,"Awareness and knowledge on Machine Learning, Artificial Intelligence and Block Chain functional use cases will be desirable.Employment Type: Regular Full Time.Management ExperienceExperience managing personnel in a professional setting.SAPA suite of software programs and applications developed by SAP SE.Internet Of ThingsKnowledge of or experience with the connection, interaction, and exchange of data via the internet among a network of devices.+10 moreDisability FriendlyIndividuals with disabilities are encouraged to apply.SAP S/4HANABusiness suite that runs on top of SAP HANA, a relational database management system developed by SAP SE.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.SAP EWMSoftware module from SAP that handles internal processes of warehouse management, as well as logistics integration, labor management, and analytics.SAP Warehouse ManagementSAP software module for processing goods movement and maintaining inventory levels within a warehouse environment.SAP Materials ManagementSAP software module for material, procurement, and inventory management.Full-timeAn employee will work full time.SAP Supply Chain ManagementSupply Chain Management solution offered by SAP that covers planning, networking, coordinating, and execution.AIExperience with artificial intelligence, or the use of machines which can learn and adapt as they perform computing tasks. Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis."
