,title,company,rating,search_city,location,salary,age,summary
0,Business Intelligence Architect - Corporate,Hanna Andersson,3.6,Portland,"Portland, OR 97232 (Kerns area)",,20 days ago,"In addition, they will strive to utilize new technologies related to artificial intelligence, machine learning and predictive analytics that will enhance Hanna…"
1,Principal Artificial Intelligence Systems Engineer,Skyworks,3.9,Portland,"Beaverton, OR",,8 days ago,Principal Artificial Intelligence Systems Engineer.Strong ability to train deep artificial neural network computational models.
2,Consumer Insights Manager,Campbell Soup Company,3.9,Portland,"Tualatin, OR",,30+ days ago,"As the Pacific Consumer Insights Manager, you will guide strategic decisions by understanding the business need, creating and owning the insights learning plan,…"
3,Assistant General Counsel - Global Technology,Nike,4.2,Portland,"Beaverton, OR",,3 days ago,"Transaction types range from traditional outsourcing, license and project service agreements to evolving areas such as cloud services and artificial…"
4,"CPU Design Verification Engineer, Entry level",Ampere Computing,,Portland,"Portland, OR",,5 days ago,"Like the scientist behind its name, Ampere employees are innovators.We understand the needs of cloud computing and different software requirements."
5,Consultant,RHONDOS,,Portland,"Washougal, WA 98671","$120,000 - $180,000 a year",30+ days ago,Installing and configuring new deployments of Splunk Enterprise and Premium Apps such as Splunk Enterprise Security and Splunk IT Service Intelligence.
6,Root Cause Hardware Debug Intern,Intel,4.1,Portland,"Hillsboro, OR 97124",,11 days ago,"As a Root Cause Hardware Debug Intern, you'll be responsible for but not limited to the following:Be will be part of high performing team doing hardware root…"
7,"Intern, Software Engineering (2020)",Ampere Computing,,Portland,"Portland, OR",,30+ days ago,"Like the scientist behind its name, Ampere employees are innovators.We understand the needs of cloud computing and different software requirements."
8,Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",3.6,Portland,"Portland, OR",,Today,"A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or…"
9,"Director, Program Management",Ampere Computing,,Portland,"Portland, OR",,30+ days ago,"Like the scientist behind its name, Ampere employees are innovators.We understand the needs of cloud computing and different software requirements."
10,Solutions Consultant,Aspect Software Inc,3.8,Portland,"Portland, OR",,18 days ago,Solutions Consultants accelerate the sales cycle and initiate the implementation cycle and are the primary technical resource for the field sales force.
