,title,company,rating,search_city,location,salary,age,summary
0,"Social Science Consultant Researcher, Institute for Ethical...",Oxford Brookes University,4.2,Reading,,"£31,866 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Institute for Ethical Artificial…"
1,Software Developer/ Engineer Institute for Ethical Artificia...,Oxford Brookes University,4.2,Reading,,"£35,845 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Ethical Artificial Intelligence…"
2,"Validation and Regulatory Affairs Consultant, Institute for...",Oxford Brookes University,4.2,Reading,,"£31,866 a year",30+ days ago,"Please see the attached Job Description, Person Specification and project information document about Oxford Brookes University Institute for Ethical Artificial…"
3,Product Owner (AI),Volume Ltd,,Reading,,,30+ days ago,"Customers using these products already are Accenture, American Red Cross, Banco de Galicia, epam, Finastra, Hulu, HSBC, NetApp, Sky and Vodafone Group."
4,UI Developer,Volume Ltd,,Reading,,,30+ days ago,"Customers using these products already are Accenture, American Red Cross, Banco de Galicia, epam, Finastra, Hulu, HSBC, NetApp, Sky and Vodafone Group."
5,Technical Adviser for Data and Artificial Intelligence Azure...,Microsoft,4.2,Reading,Reading,,30+ days ago,"Ensure your team builds the deep technical expertise, agility and excellent communication and interpersonal skills needed to support our customers effectively."
6,Context Software Engineer Intern,Oracle,3.8,Reading,Reading,,10 days ago,"Martin Porter; the Oracle Data Cloud contextual intelligence group has deep roots in the use of natural language processing, and information retrieval…"
7,EMEA Sales Leader Financial Services and Fintech,NVIDIA,4.2,Reading,Reading,,30+ days ago,"Building strategic relationships with the EMEA Financial Services ecosystem including global banks, insurers, startups, software & consulting companies,…"
8,"Enterprise Sales Executive, UK Financial Services & Fintech",NVIDIA,4.2,Reading,Reading,,30+ days ago,"We are looking for an Enterprise Sales Executive, UK Financial Services & Fintech.Working across all major internal functional areas (engineering, sales,…"
9,"Enterprise Sales Executive, UK Retail & Manufacturing",NVIDIA,4.2,Reading,Reading,,30+ days ago,"Developing and executing the UK go to market, in line with the global strategy for Retail & Manufacturing.Working across all major internal functional areas …"
10,IBM Integration Specialist,Responsiv Solutions,,Reading,Bracknell RG12,"£40,000 - £58,000 a year",30+ days ago,Responsiv is looking for experienced developers to support our project portfolio.To apply you will need to have experience with Linux and various scripting and…
