,title,company,rating,search_city,location,salary,age,summary
0,Data Quality Analyst,Lexion,,Seattle,"Seattle, WA",,1 day ago,"Relevant experience demonstrating experience with Data Analysis or Business Intelligence.Seattle, WA, Full-time or Part-time position."
1,VP of Artificial Intelligence,Axon,3.2,Seattle,"Seattle, WA 98103 (Fremont area)",,30+ days ago,"Proven background and experience in Artificial Intelligence, Data Science, and Machine Learning.8+ years in a leadership role and experience owning and driving…"
2,Communications Manager,Textio,,Seattle,"Seattle, WA 98104 (Downtown area)",,4 days ago,"You have experience crafting proactive PR campaigns, especially around data, human resources, writing, or artificial intelligence."
3,Business Development Representative,Lexion,,Seattle,"Seattle, WA",,1 day ago,"We are looking for a Business Development Representative to play a critical role in growing Lexion.As a BDR, you will work directly with the CEO of the company…"
4,Sales Technical Lead – Artificial Intelligence,Microsoft,4.2,Seattle,"Redmond, WA",,4 days ago,"Architect Artificial Intelligence based applications for customers required.Understanding of Artificial Intelligence solutions from competitors (AWS, GCP,…"
5,Front-end Engineer,Lexion,,Seattle,"Seattle, WA",,1 day ago,"We're looking for Frontend Software Engineers to join our team!As a member of our team, you will be responsible for developing user-facing products, and will…"
6,Transcribers various languages,Lionbridge Technologies,3.4,Seattle,"Bellevue, WA",,30+ days ago,"Transcribers work on the international aspects of an artificial intelligence (AI) tool, and improve its ability to understand and respond to the user accurately…"
7,Business Intelligence Engineer,"Amazon Web Services, Inc.",3.6,Seattle,"Seattle, WA",,18 days ago,"Amazon Web Services, Inc. provides services for broad range of applications including compute, storage, databases, networking, analytics, machine learning and…"
8,"Utility Consulting, Transmission & Distribution",Accenture,4.0,Seattle,"Seattle, WA 98101 (Downtown area)",,12 days ago,"You have experience designing and implementing smart infrastructure to modernize the next gen grid, including smart meters, grid sensors, streetlights, EV…"
9,"Program Manager, Diversity & Inclusion Programs",Microsoft,4.2,Seattle,"Redmond, WA",,30+ days ago,"Defining strategy and scaling multiple, concurrently running Diversity & Inclusion initiatives across a growing and geographically diverse engineering…"
10,"director, Emerging Technologies, Starbucks Technology - Seat...",Starbucks,4.0,Seattle,"Seattle, WA",,30+ days ago,"Director, Emerging Technology, Starbucks Technology – Seattle, WA.To help us continue on our mission, we are seeking a director, emerging technology to join…"
11,Entry Level Accenture Consulting Digital Analyst,Accenture,4.0,Seattle,"Seattle, WA 98101 (Downtown area)",,30+ days ago,"Learn the basics of business marketing digital strategies including:Synthesizing client needs into clear requirements – e.g., business goals, pain points and…"
12,"Program Manager, Diversity & Inclusion Programs",Microsoft,4.2,Seattle,"Redmond, WA",,30+ days ago,"Defining strategy and scaling multiple, concurrently running Diversity & Inclusion initiatives across a growing and geographically diverse engineering…"
13,Social Media Specialist,MAQ Software,3.4,Seattle,"Redmond, WA 98052 (Overlake area)",,Today,We are excited about the new opportunities offered by Artificial Intelligence (AI) and cloud services which simplify data management.
14,Software Developer - Azure Developer (Contract),Capgemini,3.8,Seattle,"Seattle, WA",,Today,"Experience developing Business Intelligence solutions using Microsoft BI Stack is a plus - SQL Server, SSAS, SSRS, and SSIS."
15,Data & Applied Scientist,Microsoft,4.2,Seattle,"Redmond, WA",,Today,"As a member of our team, you will work broadly with our engineers, program managers, and support engineers in the organization, to formulate the business…"
16,Machine Intelligence Technology Senior Algorithm Engineer Te...,Alibaba,4.0,Seattle,"Seattle, WA 98101 (Downtown area)",,1 day ago,"Temporal machine learning/data mining has a lot of applications in Alibaba’s business, including E-commerce and AIOps in cloud service maintenance and diagnosis…"
17,AI Engineer Intern,Hewlett Packard Enterprise,3.7,Seattle,"Seattle, WA",,30+ days ago,College/University Graduate hires (within 12 months of graduation per the company's definition) undergoing a specific training and development path within the…
18,Attorney,Microsoft,4.2,Seattle,"Redmond, WA",,2 days ago,"Our team provides front-line legal support for Azure Global, the engineering group responsible for Azure’s global expansion and for meeting the compliance, data…"
19,ML Engineer Intern,Hewlett Packard Enterprise,3.7,Seattle,"Seattle, WA",,30+ days ago,College/University Graduate hires (within 12 months of graduation per the company's definition) undergoing a specific training and development path within the…
20,Attorney,Microsoft,4.2,Seattle,"Redmond, WA",,2 days ago,"Our team provides front-line legal support for Azure Global, the engineering group responsible for Azure’s global expansion and for meeting the compliance, data…"
21,Data & Applied Scientist,Microsoft,4.2,Seattle,"Redmond, WA",,Today,"As a member of our team, you will work broadly with our engineers, program managers, and support engineers in the organization, to formulate the business…"
22,Research Interns – Human Computer Interaction & Artificial I...,Microsoft,4.2,Seattle,"Redmond, WA",,30+ days ago,"Microsoft Research AI is seeking multiple interns to advance the state-of-the-art in artificial intelligence (AI) user experience (UX) design, prototyping,…"
23,Customer Success Manager (Seattle),Echobox,,Seattle,"Seattle, WA",,30+ days ago,We are looking for a Customer Success Manager to join our growing company.This is a fully remote position.By gaining a deeper understanding of the publishing…
24,Program Manager 1,Microsoft,4.2,Seattle,"Bellevue, WA 98004 (Hidden Valley area)",,7 days ago,"Artificial Intelligence + Research is looking for a bright, passionate and dedicated individual to join our compliance team to help manage our external audit…"
25,National Security Analyst - Linguist,Pacific Northwest National Laboratory,4.1,Seattle,"Seattle, WA 98109 (Westlake area)",,30+ days ago,Group: Data Sciences and Analytics.The Analyst/Linguist in national security should have the following attributes:
26,"Principal Product Manager, Agent Artificial Intelligence",Zillow,3.8,Seattle,"Seattle, WA 98101 (Downtown area)",,30+ days ago,Learn more about what we are doing at https://www.zillow.com/engineering and https://www.zillow.com/data-science.Experience with Spark and Python a plus.
27,"Account Manager, Artificial Intelligence",TransPerfect,3.0,Seattle,"Seattle, WA 98101 (Downtown area)",,30+ days ago,In this role you will have the opportunity to shadow and work alongside the Senior Director for Artificial Intelligence in our Seattle office.
28,Front End Software Engineer,Google,4.3,Seattle,"Seattle, WA",,30+ days ago,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…"
