title,company,rating,search_city,location,salary,salary_freq,isRange,salary_range_min,salary_range_max,salary_avg,salary_avg_USD,age,summary
Data Scientist,TheMathCompany Inc.,,Chicago,"Chicago, IL","$80,000 - $110,000 a year",year,Range,80000,110000,95000,95000,10 days ago,We are looking for passionate individuals to help our clients solve complex challenges enabling their sustained analytics transformation.
AI/Machine learning engineer,HGS Digital,,Chicago,"Chicago, IL","$85,000 - $110,000 a year",year,Range,85000,110000,97500,97500,2 days ago,We are looking for a Artificial intelligence and Machine Learning (ML) Engineer with expertise in continuous learning methods.Great to have AWS certification.
B2B/B2G Artificial Intelligence - Machine Learning Specialis...,hoytNIVA,,Chicago,"Chicago, IL 60606 (Loop area)","$75,000 - $175,000 a year",year,Range,75000,175000,125000,125000,9 days ago,"Active Security Clearances Preferred (Secret, TS/SCI, TS/SCI/Poly, NATO Cosmic).Strong AI/ML Experience built through popular platforms/architectures."
Statistician,US Department of Health And Human Services,4.1,Phoenix,"Phoenix, AZ","$66,311 - $103,328 a year",year,Range,66311,103328,84819.5,84819.5,Today,If you are selected for this position you will serve as an advisor on segments of a research program or statistical project.How You Will Be Evaluated.
Data Architect,Arizona State University,4.3,Phoenix,"Tempe, AZ","$135,000 - $165,000 a year",year,Range,135000,165000,150000,150000,29 days ago,"Under administrative direction, performs work of considerable difficulty with responsibility for the designing, creating and managing data architecture and…"
HRIS Data Analyst Senior,Maricopa Community Colleges,3.9,Phoenix,"Maricopa County, AZ","$68,344 - $109,350 a year",year,Range,68344,109350,88847,88847,30+ days ago,"Monday - Friday, 8am - 5pm; some evenings and weekends may be required.Summer Hours: Monday - Thursday, 7am-6pm."
"Statistical Assistant, GG-1531-05, Phoenix-JD-DEU-External",US Department of Commerce,4.1,Phoenix,"Phoenix, AZ 85012 (Encanto area)","$35,103 - $45,630 a year",year,Range,35103,45630,40366.5,40366.5,29 days ago,Applications under this job opportunity announcement will be considered under external competitive procedures only.Note to current NPC employees:
Senior Healthcare Data Scientist,VBCare Network,,Phoenix,"Phoenix, AZ 85034 (Central City area)","$110,000 - $125,000 a year",year,Range,110000,125000,117500,117500,24 days ago,"TITLE: SENIOR HEALTHCARE INFORMATION SCIENTIST .SCOPE OF WORK FOR THIS POSITION .The Senior Healthcare Information Scientist will design, implement, and…"
Sr. Statistician - Specialist VII (Job 2365),Arizona Supreme Court,3.7,Phoenix,"Phoenix, AZ 85007 (Central City area)","$64,175 - $70,000 a year",year,Range,64175,70000,67087.5,67087.5,8 days ago,All positions are open until filled.The Arizona Supreme Court has a position vacancy in the challenging area of court statistics and analysis.
Ph.D. Level Mathematician (M/F),AWD Industries,,Phoenix,"Tempe, AZ 85282 (Cyprus Southwest area)","$80,000 a year",year,Not Range,80000,80000,80000,80000,30+ days ago,Unique opportunity and immediate position in Arizona.Very long-term employment in highly advanced scientific mathematics in Multi-Dimensional Quantum Field…
