bfi1,bfi2,bfi3,bfi4,bfi5,bfi6,bfi7,bfi8,bfi9,bfi10,bfi11,bfi12,bfi13,bfi14,bfi15,bfi16,bfi17,bfi18,bfi19,bfi20,bfi21,bfi22,bfi23,bfi24,bfi25,bfi26,bfi27,bfi28,bfi29,bfi30,bfi31,bfi32,bfi33,bfi34,bfi35,bfi36,bfi37,bfi38,bfi39,bfi40,bfi41,bfi42,bfi43,bfi44,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9,arc10,arc11,arc12,malo1,malo2,malo3,malo4,malo5,malo6,malo7,malo8,malo9,malo10,malo11,malo12,sfpq1_1,sfpq1_2,sfpq1_3,sfpq1_4,sfpq1_5,sfpq1_6,sfpq1_7,sfpq2_1,sfpq2_2,sfpq2_3,sfpq2_4,sfpq2_5,sfpq2_6,sfpq2_7,sfpq3_1,sfpq3_2,sfpq3_3,sfpq3_4,sfpq3_5,sfpq3_6,sfpq3_7,mwd1,mwd2,mwd3,mwd4,mws1,mws2,mws3,mws4,eese1,eese2,eese3,eese4,eese5,eese6,eese7,eese8,eesi1,eesi2,eesi3,eesi4,eesi5,eesi6,eesi7,eesi8,tas5,tas13,tas21,tas30,tas37,tas45,tas53,tas60,tas68,tas73,tas81,tas90,tas99,tas108,tas116,tas123,tas131,tas141,tas149,tas156,tas165,tas173,tas182,tas189,tas197,tas208,tas215,tas223,tas231,tas238,tas249,tas257,tas265,tas273,d_eng,d_age,d_gender,attn1b,attn1b_8_TEXT,attn2,ARCES,MAASLO,SFPQT,MWS,MWD,IF,EF,TAS,extra,agree,consci,neurot,open
5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,1,5,5,5,1,5,5,5,5,5,3,3,1,2,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,female,8,i read the instructions,2,1.833333333,1,4.380952381,1,4.25,7,7,1.058823529,5,5,5,1,4.6
4,4,4,2,4,4,4,3,2,5,5,4,5,2,4,5,4,4,2,5,4,4,5,1,4,3,4,5,2,4,4,5,4,2,3,4,4,4,2,4,4,4,4,3,4,4,3,3,4,3,5,3,2,3,3,2,4,3,3,4,3,3,4,3,2,1,3,1,4,3,3,3,3,3,2,5,2,4,3,4,4,3,5,2,4,4,5,4,5,5,6,7,6,4,2,4,3,6,5,6,6,7,6,6,6,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4,4,3,3,4,4,3,2,4,3,2,3,3,4,4,3,4,3,3,3,3,3,4,3,2,3,2,4,1,22,male,8,I read the instructions,2,3.5,2.833333333,3.571428571,3.25,6,3.25,6,3.264705882,4.125,4.111111111,4.222222222,1.875,4
1,5,5,3,5,1,5,5,1,5,1,5,5,2,5,2,1,4,1,5,1,1,5,1,5,4,2,5,4,4,2,4,5,1,2,1,4,5,2,5,5,1,5,3,1,1,1,2,2,1,1,1,3,3,2,4,1,1,1,1,1,1,1,1,3,4,1,1,2,3,5,3,3,3,3,1,4,5,3,3,5,1,5,3,5,5,5,5,5,7,7,7,7,3,1,3,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,3,3,1,1,4,4,2,4,2,3,1,2,2,1,2,1,3,2,2,4,1,3,4,3,3,2,3,4,2,4,1,1,1,35,Male,8,I read the instructions,2,1.916666667,1.416666667,3.666666667,2,7,7,7,2.382352941,1.625,3.111111111,4.888888889,1.875,4.4
4,4,5,1,5,4,5,5,1,5,5,5,5,2,5,4,4,4,1,5,4,4,4,2,5,4,5,5,1,5,4,5,5,1,4,5,5,5,1,5,5,5,5,5,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,1,1,2,1,2,3,1,1,5,3,4,4,4,3,3,5,4,4,5,3,3,2,5,4,4,4,4,3,4,4,5,5,5,1,1,4,1,5,5,6,5,5,6,6,6,6,5,6,6,7,7,7,6,1,4,4,3,2,3,4,3,2,2,2,3,2,3,3,3,3,1,3,2,3,4,4,3,3,3,4,2,3,2,1,4,1,3,1,56,Female,8,I read the instructions,2,2,1.75,3.80952381,1.75,4.75,6.25,5.5,2.735294118,4.25,4.666666667,4.777777778,1.25,4.9
3,2,5,2,5,3,4,4,3,5,4,5,5,4,4,3,4,4,4,5,4,4,5,3,4,5,4,5,3,5,4,4,4,3,3,3,4,5,4,5,5,4,2,5,2,3,3,2,3,3,1,2,2,3,3,2,1,2,3,2,3,2,4,3,3,3,3,1,3,3,4,5,4,4,4,3,3,4,3,4,4,3,4,3,3,3,4,5,4,4,4,3,3,3,3,4,4,5,5,5,5,5,6,5,6,5,5,6,5,5,6,5,5,2,4,3,2,2,3,2,3,1,1,1,3,1,2,3,1,1,1,2,3,4,2,2,1,1,4,1,3,1,2,1,2,1,3,1,39,Male,8,I read the instructions,2,2.583333333,2.5,3.666666667,3.5,3.5,5.25,5.25,2.029411765,3.625,3.888888889,4.333333333,3.25,4.6
1,5,5,4,5,1,1,5,1,4,4,2,5,1,5,5,1,5,1,5,1,1,5,1,5,5,1,5,4,5,2,1,5,5,5,1,2,5,1,5,5,1,5,5,2,3,2,2,2,2,1,1,1,3,1,2,2,2,2,6,1,1,1,2,2,1,2,4,1,4,5,5,5,5,1,1,3,5,5,3,1,1,5,1,3,3,2,3,5,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,6,6,7,6,6,7,7,1,4,1,1,1,4,1,1,1,1,1,1,1,1,4,1,4,1,1,3,1,4,4,1,1,1,4,1,1,4,1,1,1,4,1,34,male,8,I read the instructions,2,1.916666667,2.166666667,3.19047619,1,1,6.5,7,1.852941176,2.5,1.666666667,5,2.25,4.9
4,4,4,2,4,4,4,4,2,4,2,4,4,2,3,3,4,4,2,4,4,4,4,2,2,3,4,4,2,4,4,4,4,2,2,4,4,4,2,4,5,4,4,2,2,3,3,1,3,3,2,2,1,2,3,2,3,2,2,3,3,3,3,2,3,2,3,1,4,3,4,3,5,5,4,3,2,5,2,4,5,5,4,2,4,2,4,4,4,5,4,5,2,3,2,5,2,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,6,2,4,3,3,2,4,3,4,2,1,3,3,2,2,3,2,2,2,3,3,3,4,3,3,3,4,2,2,2,3,2,3,2,3,1,49,female,8,i read the instructions,2,2.416666667,2.5,3.714285714,3,4,5.125,6.375,2.705882353,3.5,4,4,2,3.4
3,5,5,1,5,3,5,5,1,5,5,5,5,1,5,5,5,5,1,5,3,5,5,1,5,3,5,5,1,5,3,5,3,1,3,5,5,5,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,1,1,1,4,3,2,1,4,1,1,1,1,2,2,2,1,3,3,3,2,3,1,1,2,2,2,1,2,1,2,2,2,1,27,Male,8,I read the instructions,2,1.083333333,1,4.428571429,1,7,7,7,1.941176471,3.75,5,4.777777778,1,4.8
3,5,5,2,5,2,5,5,1,5,4,5,5,2,4,4,4,4,2,4,2,5,4,1,4,4,5,5,1,5,2,5,4,1,3,3,5,5,2,5,4,4,4,5,2,1,2,2,1,2,2,2,1,3,2,2,1,2,2,2,1,1,2,1,1,1,1,1,3,3,4,5,4,3,3,3,2,5,5,3,5,2,4,3,5,5,5,4,5,2,4,4,3,1,1,1,2,5,5,4,4,4,3,4,4,5,5,4,4,4,5,5,5,1,3,2,2,1,2,2,2,1,1,1,3,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,27,Male,8,I read the instructions,2,2,1.333333333,3.857142857,1.25,3.25,4.625,4.125,1.588235294,3,4.777777778,4.555555556,1.5,4.4
5,5,5,1,5,5,5,4,1,5,5,5,5,2,5,5,4,5,1,5,5,5,5,2,4,3,5,5,3,5,5,5,5,1,5,5,4,5,1,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,7,7,7,7,2,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,4,4,3,3,2,3,3,3,1,4,4,4,1,3,2,3,4,4,2,1,3,3,1,2,3,1,3,3,4,1,26,Male,8,I read the instructions,2,1.083333333,1,4.714285714,1.5,7,7,7,2.823529412,4.75,4.777777778,4.888888889,1.5,4.8
